"","line","sentiment","n","paragraph"
"1",11,"sadness",1,1
"2",12,"disgust",1,1
"3",12,"sadness",1,1
"4",13,"anticipation",1,1
"5",13,"trust",2,1
"6",15,"anticipation",1,1
"7",15,"joy",1,1
"8",15,"surprise",1,1
"9",15,"trust",1,1
"10",16,"anticipation",1,1
"11",16,"fear",1,1
"12",16,"trust",2,1
"13",18,"trust",2,1
"14",23,"anticipation",1,1
"15",23,"joy",1,1
"16",23,"surprise",1,1
"17",23,"trust",1,1
"18",24,"disgust",1,1
"19",25,"anger",1,1
"20",25,"fear",1,1
"21",26,"anticipation",1,1
"22",26,"joy",1,1
"23",26,"sadness",1,1
"24",26,"surprise",1,1
"25",26,"trust",1,1
"26",30,"anger",1,1
"27",31,"trust",1,1
"28",32,"disgust",1,1
"29",34,"anger",1,1
"30",34,"disgust",2,1
"31",36,"surprise",1,1
"32",39,"anticipation",1,1
"33",39,"disgust",1,1
"34",43,"anticipation",1,1
"35",43,"fear",1,1
"36",44,"anger",1,1
"37",44,"fear",1,1
"38",44,"sadness",1,1
"39",51,"fear",1,1
"40",53,"trust",2,1
"41",55,"joy",1,1
"42",55,"trust",1,1
"43",60,"anger",1,1
"44",60,"fear",1,1
"45",60,"sadness",1,1
"46",63,"trust",1,1
"47",70,"trust",1,1
"48",80,"anger",1,1
"49",80,"fear",1,1
"50",80,"sadness",1,1
"51",81,"anticipation",1,1
"52",83,"fear",1,1
"53",84,"fear",1,1
"54",85,"trust",2,1
"55",90,"anger",6,1
"56",93,"trust",2,1
"57",94,"sadness",1,1
"58",98,"fear",1,1
"59",101,"anticipation",2,1
"60",101,"joy",1,1
"61",101,"sadness",1,1
"62",101,"trust",1,1
"63",102,"disgust",1,1
"64",102,"sadness",1,1
"65",106,"disgust",1,1
"66",106,"fear",1,1
"67",109,"anger",1,1
"68",110,"anger",5,1
"69",111,"anger",1,1
"70",111,"fear",1,1
"71",111,"sadness",1,1
"72",111,"trust",1,1
"73",113,"sadness",1,1
"74",116,"anger",1,1
"75",117,"disgust",1,1
"76",118,"anticipation",1,1
"77",118,"fear",1,1
"78",118,"joy",1,1
"79",118,"surprise",1,1
"80",118,"trust",1,1
"81",119,"trust",1,1
"82",120,"anticipation",1,1
"83",120,"joy",1,1
"84",120,"surprise",1,1
"85",120,"trust",1,1
"86",122,"anticipation",1,1
"87",122,"fear",1,1
"88",122,"joy",1,1
"89",122,"surprise",2,1
"90",122,"trust",2,1
"91",128,"trust",1,1
"92",131,"anger",1,1
"93",131,"disgust",1,1
"94",131,"fear",1,1
"95",131,"sadness",1,1
"96",131,"surprise",1,1
"97",133,"trust",1,1
"98",135,"anger",1,1
"99",135,"anticipation",1,1
"100",135,"fear",1,1
"101",135,"joy",1,1
"102",135,"sadness",1,1
"103",135,"surprise",2,1
"104",136,"anticipation",1,1
"105",136,"fear",1,1
"106",136,"sadness",1,1
"107",137,"fear",1,1
"108",139,"fear",1,1
"109",139,"surprise",1,1
"110",140,"anticipation",1,1
"111",140,"joy",1,1
"112",140,"trust",1,1
"113",147,"fear",1,1
"114",147,"sadness",1,1
"115",148,"disgust",1,1
"116",150,"anger",1,2
"117",150,"anticipation",1,2
"118",150,"fear",1,2
"119",151,"anger",1,2
"120",151,"anticipation",1,2
"121",151,"fear",1,2
"122",151,"joy",1,2
"123",151,"sadness",1,2
"124",151,"surprise",2,2
"125",151,"trust",1,2
"126",153,"fear",1,2
"127",153,"surprise",1,2
"128",155,"anticipation",1,2
"129",155,"joy",1,2
"130",155,"trust",1,2
"131",156,"anticipation",1,2
"132",156,"fear",1,2
"133",156,"joy",1,2
"134",156,"trust",1,2
"135",157,"joy",1,2
"136",157,"sadness",1,2
"137",161,"joy",1,2
"138",161,"trust",1,2
"139",163,"anticipation",2,2
"140",163,"joy",1,2
"141",163,"trust",1,2
"142",164,"anticipation",1,2
"143",167,"anticipation",1,2
"144",167,"surprise",1,2
"145",168,"surprise",1,2
"146",168,"trust",1,2
"147",170,"anticipation",1,2
"148",170,"joy",1,2
"149",170,"sadness",1,2
"150",170,"trust",1,2
"151",171,"surprise",1,2
"152",171,"trust",1,2
"153",174,"surprise",1,2
"154",175,"anticipation",1,2
"155",175,"joy",1,2
"156",175,"sadness",1,2
"157",176,"fear",1,2
"158",176,"surprise",1,2
"159",180,"trust",1,2
"160",184,"anger",1,2
"161",184,"disgust",1,2
"162",184,"fear",1,2
"163",184,"sadness",1,2
"164",184,"trust",1,2
"165",186,"fear",1,2
"166",186,"sadness",1,2
"167",191,"anger",1,2
"168",191,"anticipation",1,2
"169",191,"fear",2,2
"170",192,"anticipation",1,2
"171",192,"trust",1,2
"172",194,"anger",1,2
"173",194,"fear",1,2
"174",194,"sadness",1,2
"175",195,"fear",1,2
"176",199,"anger",1,2
"177",199,"disgust",2,2
"178",199,"fear",1,2
"179",199,"sadness",1,2
"180",199,"trust",1,2
"181",200,"anger",1,2
"182",200,"fear",1,2
"183",202,"joy",1,2
"184",203,"anger",2,2
"185",203,"anticipation",1,2
"186",203,"fear",2,2
"187",203,"joy",1,2
"188",203,"surprise",1,2
"189",206,"anger",2,2
"190",206,"fear",2,2
"191",206,"sadness",1,2
"192",209,"anger",1,2
"193",211,"disgust",1,2
"194",216,"anger",1,2
"195",216,"fear",1,2
"196",217,"sadness",1,2
"197",226,"anger",1,2
"198",226,"fear",1,2
"199",227,"trust",1,2
"200",232,"joy",1,2
"201",232,"trust",1,2
"202",235,"trust",1,2
"203",247,"trust",1,2
"204",250,"anger",1,2
"205",250,"fear",1,2
"206",250,"sadness",1,2
"207",254,"anger",1,2
"208",254,"fear",1,2
"209",254,"surprise",1,2
"210",254,"trust",1,2
"211",256,"trust",1,2
"212",257,"sadness",1,2
"213",257,"trust",1,2
"214",258,"anger",1,2
"215",258,"fear",1,2
"216",258,"sadness",1,2
"217",259,"anger",1,2
"218",259,"disgust",1,2
"219",259,"fear",1,2
"220",259,"sadness",1,2
"221",263,"joy",1,2
"222",264,"trust",1,2
"223",265,"disgust",1,2
"224",266,"anger",1,2
"225",266,"fear",1,2
"226",267,"surprise",1,2
"227",267,"trust",1,2
"228",268,"anger",1,2
"229",268,"fear",1,2
"230",268,"sadness",1,2
"231",271,"anger",2,2
"232",271,"disgust",1,2
"233",271,"fear",1,2
"234",271,"trust",1,2
"235",277,"anger",1,2
"236",277,"fear",1,2
"237",279,"trust",1,2
"238",287,"trust",1,2
"239",294,"anger",1,2
"240",294,"disgust",1,2
"241",295,"anticipation",1,2
"242",295,"trust",1,2
"243",296,"anticipation",1,2
"244",298,"anger",1,2
"245",298,"anticipation",2,2
"246",298,"disgust",1,2
"247",298,"fear",1,2
"248",298,"sadness",1,2
"249",299,"anger",1,2
"250",299,"fear",1,2
"251",299,"trust",1,2
"252",304,"anticipation",1,3
"253",304,"joy",1,3
"254",304,"trust",1,3
