"","line","sentiment","n","paragraph"
"1",10,"joy",1,1
"2",13,"joy",1,1
"3",13,"sadness",1,1
"4",13,"trust",1,1
"5",18,"anticipation",1,1
"6",19,"anger",1,1
"7",19,"disgust",1,1
"8",19,"sadness",1,1
"9",23,"disgust",1,1
"10",23,"trust",1,1
"11",26,"disgust",1,1
"12",28,"trust",1,1
"13",33,"anger",1,1
"14",33,"disgust",1,1
"15",33,"fear",1,1
"16",33,"sadness",1,1
"17",34,"trust",1,1
"18",38,"joy",1,1
"19",38,"trust",1,1
"20",40,"fear",1,1
"21",40,"joy",1,1
"22",40,"trust",1,1
"23",43,"anticipation",1,1
"24",45,"anticipation",1,1
"25",46,"disgust",1,1
"26",47,"anticipation",1,1
"27",47,"sadness",1,1
"28",48,"disgust",1,1
"29",52,"disgust",1,1
"30",53,"disgust",1,1
"31",54,"trust",2,1
"32",58,"trust",2,1
"33",59,"trust",1,1
"34",63,"trust",1,1
"35",65,"joy",1,1
"36",65,"trust",1,1
"37",66,"disgust",1,1
"38",66,"sadness",1,1
"39",68,"anticipation",1,1
"40",69,"anger",1,1
"41",69,"disgust",1,1
"42",69,"fear",1,1
"43",69,"sadness",1,1
"44",71,"trust",1,1
"45",73,"fear",1,1
"46",73,"trust",1,1
"47",76,"trust",1,1
"48",78,"disgust",1,1
"49",82,"disgust",1,1
"50",85,"anger",1,1
"51",85,"disgust",1,1
"52",85,"fear",1,1
"53",85,"sadness",1,1
"54",87,"anger",1,1
"55",87,"disgust",1,1
"56",87,"fear",1,1
"57",87,"sadness",1,1
"58",88,"anger",1,1
"59",88,"trust",1,1
"60",89,"disgust",1,1
"61",89,"trust",1,1
"62",90,"anger",2,1
"63",90,"disgust",1,1
"64",90,"fear",1,1
"65",90,"sadness",1,1
"66",92,"trust",1,1
"67",94,"disgust",1,1
"68",95,"disgust",1,1
"69",100,"trust",2,1
"70",101,"anticipation",1,1
"71",101,"surprise",1,1
"72",103,"surprise",1,1
"73",103,"trust",1,1
"74",105,"trust",1,1
"75",107,"fear",1,1
"76",108,"disgust",1,1
"77",108,"sadness",1,1
"78",109,"trust",1,1
"79",110,"anger",1,1
"80",110,"fear",1,1
"81",110,"trust",1,1
"82",111,"trust",1,1
"83",114,"anger",1,1
"84",115,"anticipation",1,1
"85",115,"disgust",1,1
"86",115,"joy",2,1
"87",115,"surprise",1,1
"88",115,"trust",4,1
"89",118,"trust",1,1
"90",123,"anticipation",1,1
"91",123,"joy",1,1
"92",123,"surprise",1,1
"93",123,"trust",1,1
"94",124,"disgust",1,1
"95",129,"fear",1,1
"96",130,"fear",1,1
"97",131,"sadness",1,1
"98",132,"anger",1,1
"99",133,"anger",1,1
"100",133,"disgust",2,1
"101",133,"fear",1,1
"102",133,"surprise",1,1
"103",135,"anger",1,1
"104",135,"disgust",2,1
"105",135,"fear",1,1
"106",135,"sadness",1,1
"107",135,"trust",1,1
"108",140,"fear",1,1
"109",142,"sadness",1,1
"110",143,"fear",1,1
"111",143,"sadness",1,1
"112",144,"fear",1,1
"113",144,"joy",1,1
"114",144,"trust",1,1
"115",146,"anger",1,1
"116",146,"fear",1,1
"117",148,"trust",1,1
"118",149,"anger",1,1
"119",149,"fear",1,1
"120",152,"anger",1,2
"121",152,"disgust",1,2
"122",152,"sadness",1,2
"123",157,"anger",1,2
"124",157,"fear",1,2
"125",161,"trust",1,2
"126",164,"anger",1,2
"127",164,"fear",1,2
"128",165,"anticipation",2,2
"129",168,"anticipation",1,2
"130",169,"disgust",1,2
"131",171,"trust",1,2
"132",175,"anger",1,2
"133",175,"fear",1,2
"134",176,"anger",1,2
"135",180,"disgust",1,2
"136",180,"joy",1,2
