"","line","sentiment","n","paragraph"
"1",15,"anticipation",1,1
"2",15,"joy",1,1
"3",15,"trust",1,1
"4",21,"anticipation",1,1
"5",21,"joy",2,1
"6",21,"surprise",1,1
"7",21,"trust",1,1
"8",24,"disgust",1,1
"9",25,"fear",1,1
"10",26,"fear",1,1
"11",27,"joy",1,1
"12",27,"trust",1,1
"13",31,"joy",1,1
"14",37,"joy",1,1
"15",38,"fear",1,1
"16",39,"anger",1,1
"17",39,"fear",1,1
"18",39,"trust",1,1
"19",40,"fear",1,1
"20",41,"joy",1,1
"21",43,"trust",1,1
"22",47,"joy",1,1
"23",47,"trust",1,1
"24",51,"sadness",1,1
"25",52,"anger",1,1
"26",52,"fear",1,1
"27",52,"sadness",1,1
"28",53,"anger",1,1
"29",54,"disgust",1,1
"30",54,"fear",2,1
"31",54,"surprise",1,1
"32",56,"anger",1,1
"33",56,"fear",1,1
"34",56,"sadness",1,1
"35",56,"surprise",1,1
"36",57,"anger",1,1
"37",57,"fear",2,1
"38",60,"disgust",1,1
"39",60,"trust",1,1
"40",62,"anger",1,1
"41",62,"sadness",1,1
"42",63,"disgust",1,1
"43",63,"fear",1,1
"44",63,"trust",1,1
"45",64,"anger",1,1
"46",64,"disgust",1,1
"47",64,"fear",1,1
"48",64,"sadness",1,1
"49",64,"surprise",1,1
"50",65,"fear",1,1
"51",65,"sadness",1,1
"52",68,"anger",1,1
"53",68,"fear",1,1
"54",73,"disgust",1,1
"55",74,"anger",2,1
"56",74,"disgust",1,1
"57",74,"fear",1,1
"58",75,"anger",2,1
"59",75,"anticipation",1,1
"60",75,"disgust",2,1
"61",75,"fear",2,1
"62",75,"joy",1,1
"63",75,"sadness",1,1
"64",75,"trust",1,1
"65",76,"surprise",1,1
"66",77,"fear",1,1
"67",81,"fear",1,1
"68",81,"sadness",1,1
"69",82,"anger",1,1
"70",82,"disgust",1,1
"71",82,"fear",1,1
"72",82,"sadness",1,1
"73",87,"trust",1,1
"74",89,"anger",1,1
"75",89,"fear",1,1
"76",89,"sadness",1,1
"77",92,"anger",1,1
"78",92,"disgust",1,1
"79",92,"fear",1,1
"80",92,"sadness",1,1
"81",95,"anger",1,1
"82",95,"fear",1,1
"83",97,"fear",1,1
"84",98,"anticipation",1,1
"85",98,"trust",1,1
"86",99,"joy",1,1
"87",101,"anger",1,1
"88",101,"anticipation",1,1
"89",101,"fear",2,1
"90",101,"surprise",1,1
"91",102,"anticipation",1,1
"92",102,"trust",1,1
"93",104,"anger",1,1
"94",104,"fear",2,1
"95",104,"trust",1,1
"96",112,"fear",1,1
"97",113,"anger",1,1
"98",113,"fear",2,1
"99",113,"trust",1,1
"100",116,"anger",1,1
"101",116,"fear",1,1
"102",116,"sadness",1,1
"103",118,"trust",1,1
"104",119,"anger",1,1
"105",119,"fear",1,1
"106",119,"surprise",1,1
"107",120,"anger",1,1
"108",120,"fear",2,1
"109",120,"sadness",1,1
"110",120,"surprise",1,1
"111",125,"fear",1,1
"112",128,"fear",1,1
"113",128,"trust",1,1
"114",129,"fear",1,1
"115",130,"anger",1,1
"116",131,"fear",1,1
"117",131,"sadness",1,1
"118",132,"anger",1,1
"119",132,"disgust",1,1
"120",132,"fear",1,1
"121",132,"sadness",1,1
"122",134,"anticipation",1,1
"123",138,"trust",1,1
"124",139,"anger",1,1
"125",139,"fear",1,1
"126",141,"fear",1,1
"127",142,"disgust",1,1
"128",145,"disgust",1,1
"129",146,"disgust",1,1
"130",149,"anger",1,1
"131",152,"fear",1,2
"132",152,"sadness",1,2
"133",153,"anticipation",1,2
"134",153,"trust",1,2
"135",154,"sadness",1,2
"136",154,"surprise",1,2
"137",160,"anger",1,2
"138",160,"disgust",1,2
"139",160,"fear",1,2
"140",160,"sadness",1,2
"141",161,"anticipation",1,2
"142",161,"trust",1,2
"143",168,"anticipation",1,2
"144",171,"fear",1,2
"145",171,"trust",1,2
"146",172,"anger",2,2
"147",172,"disgust",1,2
"148",172,"fear",1,2
"149",172,"sadness",1,2
"150",174,"anger",1,2
"151",174,"fear",1,2
"152",174,"trust",1,2
"153",175,"fear",1,2
"154",175,"sadness",1,2
"155",177,"trust",1,2
"156",178,"joy",1,2
"157",178,"trust",1,2
"158",179,"anger",1,2
"159",179,"fear",1,2
"160",189,"anticipation",1,2
"161",189,"trust",2,2
"162",190,"disgust",1,2
"163",191,"fear",1,2
"164",198,"fear",1,2
"165",198,"trust",1,2
"166",205,"anger",1,2
"167",205,"fear",2,2
"168",205,"surprise",2,2
"169",209,"trust",1,2
"170",213,"sadness",1,2
"171",220,"anticipation",2,2
"172",220,"trust",1,2
