"","line","sentiment","n","paragraph"
"1",24,"joy",1,1
"2",30,"anticipation",1,1
"3",30,"joy",2,1
"4",30,"sadness",1,1
"5",30,"trust",1,1
"6",31,"anger",1,1
"7",31,"disgust",1,1
"8",31,"fear",1,1
"9",31,"sadness",1,1
"10",32,"anger",1,1
"11",32,"disgust",1,1
"12",32,"fear",1,1
"13",32,"sadness",2,1
"14",33,"trust",1,1
"15",35,"anticipation",2,1
"16",35,"joy",2,1
"17",35,"trust",2,1
"18",38,"joy",1,1
"19",38,"trust",1,1
"20",41,"anticipation",1,1
"21",42,"joy",1,1
"22",42,"trust",1,1
"23",43,"anticipation",1,1
"24",43,"fear",1,1
"25",43,"sadness",1,1
"26",50,"joy",1,1
"27",50,"trust",1,1
"28",52,"trust",1,1
"29",54,"fear",1,1
"30",55,"trust",1,1
"31",56,"fear",1,1
"32",59,"anticipation",1,1
"33",59,"joy",1,1
"34",59,"trust",1,1
"35",62,"anger",1,1
"36",62,"disgust",1,1
"37",62,"fear",1,1
"38",62,"sadness",1,1
"39",63,"sadness",1,1
"40",66,"fear",1,1
"41",66,"sadness",1,1
"42",70,"anticipation",1,1
"43",71,"fear",1,1
"44",71,"sadness",1,1
"45",73,"anticipation",1,1
"46",73,"disgust",1,1
"47",73,"fear",1,1
"48",73,"joy",1,1
"49",73,"sadness",1,1
"50",73,"surprise",1,1
"51",75,"anger",1,1
"52",76,"anticipation",1,1
"53",76,"joy",1,1
"54",76,"trust",1,1
"55",78,"anger",1,1
"56",80,"anger",1,1
"57",80,"anticipation",2,1
"58",80,"trust",1,1
"59",81,"anger",1,1
"60",81,"anticipation",1,1
"61",81,"disgust",1,1
"62",81,"fear",1,1
"63",81,"joy",1,1
"64",81,"sadness",1,1
"65",81,"surprise",1,1
"66",81,"trust",1,1
"67",82,"anticipation",1,1
"68",82,"disgust",1,1
"69",82,"fear",1,1
"70",82,"joy",1,1
"71",82,"sadness",1,1
"72",82,"surprise",1,1
"73",82,"trust",1,1
"74",86,"anticipation",1,1
"75",89,"anticipation",1,1
"76",89,"disgust",1,1
"77",89,"fear",1,1
"78",89,"joy",1,1
"79",89,"sadness",1,1
"80",89,"surprise",1,1
"81",89,"trust",1,1
"82",90,"anger",1,1
"83",90,"fear",1,1
"84",90,"sadness",1,1
"85",92,"anger",1,1
"86",92,"fear",1,1
"87",92,"sadness",1,1
"88",94,"anger",1,1
"89",94,"disgust",1,1
"90",94,"sadness",1,1
"91",98,"disgust",1,1
"92",98,"fear",1,1
"93",98,"trust",1,1
"94",100,"sadness",1,1
"95",101,"anger",1,1
"96",107,"sadness",1,1
"97",110,"trust",1,1
"98",123,"anger",1,1
"99",123,"disgust",1,1
"100",125,"trust",1,1
"101",126,"anticipation",1,1
"102",132,"anticipation",1,1
"103",137,"anticipation",1,1
"104",138,"anticipation",1,1
"105",138,"joy",1,1
"106",140,"anger",1,1
"107",140,"anticipation",1,1
"108",140,"disgust",1,1
"109",140,"joy",1,1
"110",140,"surprise",1,1
"111",140,"trust",1,1
"112",144,"anticipation",1,1
"113",144,"joy",1,1
"114",144,"surprise",1,1
"115",144,"trust",3,1
"116",146,"fear",1,1
"117",146,"sadness",1,1
"118",147,"sadness",1,1
"119",148,"sadness",1,1
"120",152,"trust",1,1
"121",157,"anticipation",1,1
"122",159,"sadness",1,1
"123",161,"anticipation",1,1
"124",162,"fear",1,1
"125",162,"sadness",1,1
"126",162,"surprise",1,1
"127",163,"anger",1,1
"128",172,"anger",1,1
"129",172,"fear",1,1
"130",172,"sadness",1,1
"131",174,"anticipation",1,1
"132",174,"sadness",1,1
"133",177,"anger",1,1
"134",177,"disgust",1,1
"135",179,"fear",1,1
"136",179,"sadness",2,1
"137",179,"trust",1,1
"138",186,"anticipation",1,1
"139",188,"trust",1,1
"140",190,"anger",1,2
"141",190,"disgust",1,2
"142",190,"fear",1,2
"143",190,"sadness",1,2
"144",195,"trust",1,2
"145",197,"joy",1,2
"146",197,"trust",1,2
"147",200,"anticipation",1,2
"148",202,"trust",1,2
"149",204,"surprise",1,2
"150",210,"trust",1,2
"151",212,"anticipation",1,2
"152",212,"sadness",1,2
"153",212,"surprise",1,2
"154",213,"anger",1,2
"155",213,"surprise",1,2
"156",219,"anger",1,2
"157",219,"trust",1,2
"158",220,"joy",1,2
"159",220,"surprise",1,2
"160",220,"trust",1,2
"161",222,"joy",1,2
"162",226,"anticipation",1,2
"163",226,"sadness",1,2
"164",226,"trust",1,2
"165",229,"sadness",1,2
"166",234,"joy",1,2
"167",234,"trust",1,2
"168",249,"trust",1,2
"169",251,"anticipation",1,2
"170",251,"joy",1,2
"171",251,"trust",1,2
"172",253,"anticipation",1,2
"173",253,"joy",1,2
"174",253,"trust",1,2
"175",255,"trust",1,2
"176",259,"joy",1,2
"177",259,"surprise",1,2
"178",259,"trust",1,2
"179",263,"anger",1,2
"180",263,"anticipation",1,2
"181",264,"anger",1,2
"182",264,"disgust",1,2
"183",267,"trust",1,2
"184",285,"anticipation",1,2
"185",285,"joy",1,2
"186",285,"surprise",1,2
"187",285,"trust",1,2
"188",290,"anger",1,2
"189",290,"fear",1,2
"190",290,"sadness",1,2
"191",296,"anticipation",1,2
"192",301,"disgust",1,2
"193",301,"fear",1,2
"194",303,"joy",1,2
"195",304,"disgust",1,2
"196",304,"fear",1,2
"197",304,"sadness",1,2
"198",305,"joy",1,2
"199",305,"trust",1,2
"200",314,"anticipation",1,2
"201",315,"anger",1,2
"202",315,"fear",1,2
"203",315,"sadness",1,2
"204",316,"anticipation",1,2
"205",316,"fear",1,2
"206",319,"trust",1,2
"207",320,"anticipation",1,2
"208",320,"fear",1,2
"209",321,"anger",1,2
"210",321,"anticipation",1,2
"211",321,"fear",1,2
"212",321,"sadness",1,2
"213",323,"anger",1,2
"214",323,"fear",1,2
"215",323,"joy",1,2
"216",323,"trust",1,2
"217",328,"joy",1,2
"218",328,"sadness",1,2
"219",328,"trust",1,2
"220",330,"disgust",1,2
"221",333,"trust",2,2
"222",347,"anticipation",1,2
"223",360,"joy",1,2
"224",371,"surprise",1,2
"225",373,"disgust",1,2
"226",373,"fear",1,2
"227",373,"trust",1,2
"228",374,"anger",1,2
"229",374,"fear",1,2
"230",374,"sadness",1,2
"231",379,"anger",1,2
"232",379,"anticipation",3,2
"233",379,"disgust",1,2
"234",379,"joy",3,2
"235",379,"surprise",3,2
"236",379,"trust",3,2
"237",381,"joy",1,3
"238",381,"trust",1,3
"239",382,"disgust",1,3
"240",382,"fear",1,3
"241",383,"trust",1,3
"242",385,"anticipation",1,3
"243",385,"fear",1,3
"244",386,"anticipation",1,3
"245",386,"joy",1,3
"246",386,"surprise",1,3
"247",386,"trust",1,3
"248",387,"trust",1,3
"249",388,"anger",1,3
"250",388,"fear",1,3
"251",392,"anger",1,3
"252",392,"fear",1,3
"253",395,"sadness",1,3
"254",399,"anger",1,3
"255",399,"fear",1,3
"256",406,"anticipation",1,3
"257",406,"joy",1,3
"258",406,"surprise",1,3
"259",406,"trust",1,3
"260",408,"anticipation",1,3
"261",409,"anger",1,3
"262",409,"fear",1,3
"263",414,"anticipation",1,3
"264",416,"anger",1,3
"265",416,"fear",1,3
"266",423,"anger",1,3
"267",423,"sadness",1,3
"268",427,"trust",1,3
"269",431,"anger",1,3
"270",431,"anticipation",1,3
"271",431,"joy",1,3
"272",431,"surprise",1,3
"273",431,"trust",1,3
"274",433,"trust",1,3
"275",435,"trust",1,3
"276",439,"anger",1,3
"277",439,"fear",1,3
"278",440,"anger",1,3
"279",440,"anticipation",1,3
"280",440,"joy",1,3
"281",440,"sadness",1,3
"282",440,"surprise",1,3
"283",440,"trust",1,3
"284",441,"anticipation",1,3
"285",441,"joy",1,3
"286",441,"surprise",1,3
"287",441,"trust",1,3
"288",443,"fear",1,3
"289",446,"disgust",1,3
"290",446,"trust",1,3
"291",449,"anger",1,3
"292",449,"anticipation",1,3
"293",449,"joy",1,3
"294",449,"sadness",1,3
"295",449,"surprise",1,3
"296",449,"trust",1,3
"297",453,"anticipation",1,3
"298",453,"fear",1,3
"299",454,"anger",1,3
"300",454,"fear",1,3
"301",456,"trust",1,3
"302",458,"sadness",1,3
"303",459,"trust",1,3
"304",460,"anger",1,3
"305",462,"trust",1,3
"306",463,"sadness",1,3
"307",465,"fear",1,3
"308",467,"trust",1,3
"309",470,"trust",1,3
"310",471,"anger",1,3
"311",471,"disgust",1,3
"312",472,"anger",1,3
"313",472,"fear",1,3
"314",474,"fear",1,3
"315",474,"joy",1,3
"316",474,"surprise",1,3
"317",474,"trust",1,3
"318",475,"trust",1,3
"319",482,"anger",1,3
"320",482,"anticipation",1,3
"321",482,"joy",1,3
"322",482,"sadness",1,3
"323",482,"surprise",1,3
"324",482,"trust",1,3
"325",490,"anger",1,3
"326",490,"sadness",1,3
"327",490,"trust",1,3
"328",493,"anger",1,3
"329",493,"sadness",1,3
"330",493,"trust",2,3
"331",495,"anger",1,3
"332",495,"anticipation",1,3
"333",495,"disgust",1,3
"334",495,"fear",1,3
"335",495,"joy",1,3
"336",495,"trust",1,3
"337",496,"trust",1,3
"338",497,"anger",1,3
"339",502,"anticipation",1,3
"340",502,"trust",1,3
"341",503,"anger",1,3
"342",503,"sadness",1,3
"343",504,"fear",1,3
"344",505,"anticipation",2,3
"345",505,"joy",1,3
"346",505,"surprise",2,3
"347",505,"trust",2,3
"348",507,"anticipation",1,3
"349",507,"fear",1,3
"350",509,"anger",1,3
"351",509,"anticipation",1,3
"352",509,"joy",1,3
"353",509,"surprise",1,3
"354",509,"trust",1,3
"355",513,"trust",1,3
"356",514,"fear",1,3
"357",516,"fear",1,3
"358",520,"fear",1,3
"359",521,"anger",1,3
"360",521,"anticipation",1,3
"361",521,"joy",1,3
"362",521,"surprise",1,3
"363",521,"trust",1,3
"364",523,"anticipation",1,3
"365",523,"joy",1,3
"366",523,"surprise",1,3
"367",523,"trust",2,3
"368",525,"trust",1,3
"369",528,"trust",2,3
"370",535,"anticipation",1,3
"371",535,"fear",1,3
"372",535,"joy",1,3
"373",535,"trust",2,3
"374",542,"trust",1,3
"375",543,"trust",1,3
"376",544,"anger",1,3
"377",544,"disgust",1,3
"378",544,"fear",1,3
"379",544,"sadness",1,3
"380",548,"anger",1,3
"381",550,"anticipation",1,3
"382",550,"joy",1,3
"383",550,"surprise",1,3
"384",553,"anger",1,3
"385",553,"disgust",1,3
"386",553,"fear",1,3
"387",553,"sadness",1,3
"388",553,"trust",1,3
"389",556,"anticipation",1,3
"390",556,"fear",1,3
"391",556,"joy",2,3
"392",556,"surprise",2,3
"393",559,"trust",1,3
"394",561,"trust",1,3
"395",572,"anticipation",1,4
"396",572,"joy",1,4
"397",572,"surprise",1,4
"398",574,"anger",1,4
"399",574,"disgust",1,4
"400",580,"fear",1,4
"401",582,"anticipation",1,4
"402",582,"joy",1,4
"403",582,"surprise",1,4
"404",584,"disgust",1,4
"405",586,"anger",1,4
"406",586,"anticipation",1,4
"407",586,"fear",1,4
"408",589,"anticipation",1,4
"409",594,"trust",1,4
"410",595,"trust",1,4
"411",601,"fear",1,4
"412",602,"fear",1,4
"413",604,"sadness",1,4
"414",605,"anger",1,4
"415",605,"disgust",1,4
"416",605,"fear",1,4
"417",605,"sadness",1,4
"418",605,"surprise",1,4
"419",609,"anger",1,4
"420",610,"anticipation",1,4
"421",610,"fear",1,4
"422",610,"sadness",1,4
"423",613,"anger",1,4
"424",613,"anticipation",1,4
"425",613,"fear",1,4
"426",613,"joy",1,4
"427",613,"surprise",1,4
"428",614,"anticipation",2,4
"429",614,"fear",1,4
"430",614,"joy",2,4
"431",614,"sadness",1,4
"432",614,"trust",2,4
"433",620,"anger",1,4
"434",620,"fear",1,4
"435",625,"anticipation",1,4
"436",625,"fear",2,4
"437",625,"sadness",1,4
"438",629,"fear",1,4
"439",629,"trust",1,4
"440",632,"trust",1,4
"441",640,"anger",1,4
"442",640,"disgust",1,4
"443",641,"anticipation",3,4
"444",641,"joy",2,4
"445",641,"surprise",2,4
"446",641,"trust",2,4
"447",642,"fear",1,4
"448",644,"anger",3,4
"449",644,"sadness",3,4
"450",645,"trust",1,4
"451",648,"disgust",1,4
"452",649,"anticipation",1,4
"453",649,"joy",1,4
"454",649,"surprise",1,4
"455",649,"trust",1,4
"456",650,"fear",1,4
"457",659,"anticipation",1,4
"458",663,"anger",1,4
"459",663,"anticipation",1,4
"460",663,"disgust",1,4
"461",673,"anticipation",1,4
"462",673,"fear",1,4
"463",674,"anger",1,4
"464",675,"anticipation",1,4
"465",677,"anticipation",1,4
"466",677,"fear",1,4
"467",677,"joy",1,4
"468",678,"anticipation",1,4
"469",678,"joy",1,4
"470",678,"surprise",1,4
"471",678,"trust",1,4
"472",683,"fear",1,4
"473",687,"anger",1,4
"474",687,"anticipation",1,4
"475",687,"fear",1,4
"476",688,"anticipation",1,4
"477",688,"trust",1,4
"478",689,"disgust",1,4
"479",693,"anticipation",1,4
"480",694,"disgust",1,4
"481",696,"disgust",1,4
"482",699,"anticipation",1,4
"483",699,"fear",1,4
"484",699,"joy",1,4
"485",700,"anticipation",1,4
"486",700,"joy",1,4
"487",700,"surprise",1,4
"488",700,"trust",1,4
"489",704,"fear",1,4
"490",705,"anger",1,4
"491",705,"disgust",1,4
"492",705,"fear",1,4
"493",705,"sadness",1,4
"494",706,"fear",1,4
"495",706,"sadness",1,4
"496",707,"anger",1,4
"497",707,"disgust",1,4
"498",707,"fear",1,4
"499",707,"sadness",1,4
"500",707,"surprise",1,4
