"","line","sentiment","n","paragraph"
"1",21,"trust",1,1
"2",28,"trust",1,1
"3",33,"trust",1,1
"4",35,"joy",1,1
"5",38,"trust",1,1
"6",40,"trust",1,1
"7",41,"joy",1,1
"8",41,"trust",1,1
"9",44,"trust",1,1
"10",47,"trust",1,1
"11",49,"trust",1,1
"12",51,"trust",1,1
"13",59,"anticipation",1,1
"14",59,"trust",1,1
"15",61,"anticipation",1,1
"16",61,"joy",1,1
"17",61,"trust",1,1
"18",64,"trust",1,1
"19",66,"anticipation",1,1
"20",68,"anger",1,1
"21",68,"anticipation",1,1
"22",68,"fear",1,1
"23",68,"trust",1,1
"24",74,"disgust",1,1
"25",74,"fear",1,1
"26",81,"disgust",1,1
"27",89,"trust",1,1
"28",92,"trust",1,1
"29",93,"anticipation",1,1
"30",93,"surprise",1,1
"31",98,"sadness",1,1
"32",99,"anger",2,1
"33",99,"anticipation",1,1
"34",99,"disgust",1,1
"35",99,"fear",1,1
"36",99,"sadness",2,1
"37",99,"surprise",1,1
"38",100,"anticipation",1,1
"39",100,"surprise",1,1
"40",102,"trust",1,1
"41",103,"anticipation",1,1
"42",103,"sadness",1,1
"43",110,"anger",1,1
"44",115,"trust",1,1
"45",117,"anger",2,1
"46",117,"anticipation",1,1
"47",117,"fear",2,1
"48",118,"sadness",1,1
"49",118,"trust",1,1
"50",120,"anticipation",1,1
"51",121,"anger",1,1
"52",121,"anticipation",1,1
"53",121,"fear",1,1
"54",121,"joy",1,1
"55",121,"trust",3,1
"56",122,"joy",1,1
"57",122,"trust",1,1
"58",126,"anger",1,1
"59",126,"disgust",1,1
"60",126,"fear",1,1
"61",126,"sadness",1,1
"62",126,"trust",2,1
"63",128,"trust",1,1
"64",131,"disgust",1,1
"65",141,"trust",1,1
"66",147,"trust",1,1
"67",152,"joy",1,1
"68",152,"surprise",1,1
"69",152,"trust",1,1
"70",154,"joy",1,1
"71",154,"surprise",1,1
"72",154,"trust",1,1
"73",157,"anger",1,1
"74",157,"disgust",1,1
"75",157,"fear",1,1
"76",157,"sadness",1,1
"77",162,"joy",1,1
"78",165,"anger",1,1
"79",168,"anger",1,1
"80",168,"anticipation",1,1
"81",168,"disgust",1,1
"82",168,"fear",1,1
"83",168,"joy",1,1
"84",168,"sadness",1,1
"85",169,"fear",1,1
"86",170,"anticipation",1,1
"87",170,"fear",1,1
"88",179,"anger",1,1
"89",179,"fear",1,1
"90",197,"trust",1,2
"91",199,"trust",1,2
"92",206,"joy",1,2
"93",206,"trust",1,2
"94",213,"anger",2,2
"95",213,"fear",1,2
"96",213,"sadness",2,2
"97",213,"surprise",1,2
"98",214,"anger",1,2
"99",214,"anticipation",1,2
"100",214,"fear",1,2
"101",214,"trust",1,2
"102",216,"joy",1,2
"103",216,"surprise",1,2
"104",223,"joy",1,2
"105",226,"anger",1,2
"106",226,"disgust",1,2
"107",226,"fear",1,2
"108",226,"sadness",1,2
"109",229,"trust",1,2
"110",234,"trust",1,2
"111",239,"anger",1,2
"112",239,"anticipation",1,2
"113",239,"disgust",1,2
"114",239,"fear",1,2
"115",239,"sadness",1,2
"116",252,"anticipation",1,2
"117",254,"joy",1,2
"118",256,"anticipation",1,2
"119",256,"fear",1,2
"120",256,"surprise",1,2
"121",263,"fear",1,2
"122",263,"surprise",1,2
"123",274,"sadness",1,2
"124",276,"joy",2,2
"125",276,"surprise",1,2
"126",277,"joy",1,2
"127",277,"surprise",1,2
"128",279,"anger",1,2
"129",279,"disgust",1,2
"130",279,"fear",1,2
"131",279,"sadness",1,2
"132",289,"anger",1,2
"133",293,"joy",1,2
"134",293,"trust",1,2
"135",297,"disgust",1,2
"136",297,"fear",1,2
"137",297,"sadness",1,2
"138",299,"joy",1,2
"139",311,"joy",1,2
"140",313,"anger",1,2
"141",317,"anger",1,2
"142",317,"fear",2,2
"143",317,"sadness",2,2
"144",317,"surprise",1,2
"145",318,"anger",1,2
"146",318,"anticipation",1,2
"147",318,"fear",1,2
"148",318,"sadness",1,2
"149",318,"surprise",1,2
"150",322,"anticipation",1,2
"151",322,"trust",1,2
"152",331,"anticipation",1,2
"153",339,"anger",1,2
"154",345,"anger",1,2
"155",345,"disgust",1,2
"156",345,"sadness",1,2
"157",350,"anger",1,2
"158",350,"disgust",1,2
"159",350,"sadness",1,2
"160",353,"anticipation",1,2
"161",353,"joy",1,2
"162",353,"surprise",1,2
"163",356,"anticipation",1,2
"164",356,"fear",1,2
"165",356,"joy",1,2
"166",356,"sadness",1,2
"167",356,"surprise",2,2
"168",368,"anticipation",1,2
"169",368,"joy",1,2
"170",368,"surprise",1,2
"171",370,"sadness",1,2
"172",376,"trust",1,2
"173",383,"joy",1,2
"174",383,"trust",1,2
"175",384,"anticipation",1,2
"176",384,"joy",1,2
"177",384,"trust",1,2
"178",386,"anger",1,2
"179",389,"sadness",1,2
"180",393,"anger",1,3
"181",393,"anticipation",1,3
"182",393,"trust",1,3
"183",411,"anger",1,3
"184",411,"sadness",1,3
"185",421,"anger",1,3
"186",421,"disgust",1,3
"187",421,"fear",1,3
"188",449,"anticipation",1,3
"189",449,"joy",1,3
"190",449,"trust",1,3
"191",450,"trust",1,3
"192",453,"joy",1,3
"193",457,"trust",1,3
"194",464,"trust",1,3
"195",470,"trust",1,3
"196",477,"anticipation",1,3
"197",477,"joy",1,3
"198",488,"anticipation",1,3
"199",488,"joy",1,3
"200",488,"trust",1,3
"201",495,"sadness",1,3
"202",502,"trust",1,3
"203",505,"anticipation",1,3
"204",505,"joy",1,3
"205",508,"anger",1,3
"206",508,"disgust",1,3
"207",508,"fear",1,3
"208",508,"sadness",1,3
"209",508,"surprise",1,3
"210",508,"trust",1,3
"211",511,"anticipation",1,3
"212",511,"sadness",1,3
"213",512,"anger",1,3
"214",512,"anticipation",1,3
"215",512,"fear",1,3
"216",512,"joy",3,3
"217",512,"surprise",1,3
"218",512,"trust",1,3
"219",518,"disgust",1,3
"220",521,"trust",1,3
"221",524,"disgust",1,3
"222",526,"disgust",1,3
"223",527,"anger",1,3
"224",527,"disgust",1,3
"225",527,"fear",1,3
"226",527,"sadness",1,3
"227",531,"sadness",1,3
"228",538,"disgust",1,3
"229",539,"anger",1,3
"230",548,"sadness",1,3
"231",550,"disgust",1,3
"232",556,"disgust",1,3
"233",558,"anger",1,3
"234",558,"fear",1,3
"235",558,"sadness",1,3
"236",562,"disgust",1,3
"237",570,"disgust",1,3
"238",571,"anticipation",1,3
"239",571,"joy",1,3
"240",571,"trust",1,3
"241",576,"disgust",1,3
"242",579,"sadness",1,3
"243",580,"anticipation",1,3
"244",588,"trust",1,4
"245",589,"trust",1,4
"246",595,"joy",1,4
"247",596,"joy",1,4
"248",596,"trust",1,4
"249",600,"anticipation",1,4
"250",611,"joy",1,4
"251",611,"surprise",1,4
"252",614,"disgust",1,4
"253",620,"trust",1,4
"254",636,"anticipation",1,4
"255",636,"joy",1,4
"256",636,"surprise",1,4
"257",636,"trust",1,4
"258",639,"anticipation",1,4
"259",639,"joy",1,4
"260",639,"surprise",1,4
"261",639,"trust",1,4
"262",640,"anticipation",2,4
"263",640,"joy",1,4
"264",640,"trust",1,4
"265",641,"disgust",1,4
"266",641,"fear",1,4
"267",641,"sadness",1,4
"268",641,"trust",1,4
"269",642,"fear",1,4
"270",642,"sadness",1,4
"271",661,"anticipation",1,4
"272",662,"trust",1,4
"273",674,"disgust",1,4
"274",674,"fear",1,4
"275",674,"joy",1,4
"276",674,"sadness",1,4
"277",674,"surprise",1,4
"278",674,"trust",1,4
"279",680,"joy",1,4
"280",680,"trust",1,4
"281",681,"anger",1,4
"282",681,"disgust",1,4
"283",697,"trust",1,4
"284",704,"anticipation",1,4
"285",704,"surprise",1,4
"286",704,"trust",1,4
"287",713,"joy",1,4
"288",714,"disgust",1,4
"289",714,"sadness",1,4
"290",714,"trust",1,4
"291",721,"sadness",1,4
"292",722,"surprise",1,4
"293",729,"trust",1,4
"294",730,"anger",1,4
"295",730,"disgust",1,4
"296",730,"fear",1,4
"297",730,"sadness",1,4
"298",733,"anticipation",1,4
"299",733,"sadness",1,4
"300",737,"anticipation",1,4
"301",756,"trust",1,4
"302",763,"trust",1,4
"303",766,"anger",1,4
"304",766,"disgust",1,4
"305",766,"sadness",1,4
"306",767,"anticipation",1,4
"307",770,"joy",1,4
"308",781,"anticipation",1,5
"309",781,"joy",1,5
"310",781,"surprise",1,5
"311",781,"trust",1,5
"312",782,"anticipation",1,5
"313",789,"anticipation",1,5
"314",791,"anger",1,5
"315",791,"disgust",1,5
"316",791,"fear",1,5
"317",791,"sadness",1,5
"318",791,"surprise",1,5
"319",792,"disgust",1,5
"320",796,"anger",1,5
"321",796,"fear",1,5
"322",796,"sadness",1,5
"323",798,"disgust",1,5
"324",805,"anticipation",1,5
"325",810,"surprise",1,5
"326",820,"anticipation",1,5
"327",824,"anger",1,5
"328",824,"disgust",1,5
"329",824,"fear",1,5
"330",824,"sadness",1,5
"331",827,"trust",1,5
"332",833,"trust",1,5
"333",836,"sadness",1,5
"334",847,"anticipation",1,5
"335",847,"fear",1,5
"336",847,"joy",1,5
"337",847,"surprise",1,5
"338",847,"trust",1,5
"339",852,"anger",1,5
"340",855,"anticipation",1,5
"341",855,"joy",1,5
"342",855,"trust",1,5
"343",858,"anger",1,5
"344",858,"fear",1,5
"345",858,"sadness",1,5
"346",867,"sadness",1,5
"347",869,"fear",1,5
"348",869,"surprise",1,5
"349",876,"disgust",1,5
"350",878,"anger",1,5
"351",878,"disgust",1,5
"352",878,"fear",1,5
"353",878,"surprise",1,5
"354",878,"trust",1,5
"355",879,"anger",1,5
"356",879,"disgust",1,5
"357",879,"fear",1,5
"358",901,"anticipation",1,5
"359",901,"joy",1,5
"360",902,"anticipation",1,5
"361",902,"joy",1,5
"362",902,"surprise",1,5
"363",910,"surprise",1,5
"364",921,"disgust",1,5
"365",924,"anticipation",1,5
"366",924,"trust",1,5
"367",925,"disgust",1,5
"368",928,"anger",1,5
"369",928,"disgust",1,5
"370",930,"sadness",1,5
"371",937,"disgust",1,5
"372",940,"anticipation",1,5
"373",940,"disgust",1,5
"374",940,"sadness",2,5
"375",944,"disgust",1,5
"376",947,"anger",1,5
"377",947,"fear",1,5
"378",960,"disgust",1,5
"379",976,"anger",1,6
"380",976,"anticipation",1,6
"381",976,"disgust",1,6
"382",976,"fear",1,6
"383",976,"sadness",1,6
"384",976,"surprise",1,6
"385",986,"disgust",1,6
"386",1002,"fear",1,6
"387",1014,"anger",1,6
"388",1014,"disgust",1,6
"389",1014,"fear",1,6
"390",1050,"anticipation",1,6
"391",1050,"trust",1,6
"392",1051,"trust",1,6
"393",1055,"disgust",1,6
"394",1058,"anger",1,6
"395",1058,"joy",1,6
"396",1058,"trust",1,6
"397",1075,"anger",1,6
"398",1079,"joy",1,6
"399",1079,"trust",1,6
"400",1082,"anger",1,6
"401",1082,"anticipation",1,6
"402",1082,"disgust",1,6
"403",1082,"fear",1,6
"404",1082,"joy",1,6
"405",1082,"sadness",1,6
"406",1082,"trust",1,6
"407",1087,"anticipation",3,6
"408",1109,"disgust",1,6
"409",1115,"trust",1,6
"410",1117,"trust",1,6
"411",1126,"trust",1,6
"412",1132,"disgust",1,6
"413",1133,"disgust",1,6
"414",1134,"disgust",1,6
"415",1136,"trust",1,6
"416",1137,"joy",1,6
"417",1137,"surprise",1,6
"418",1139,"disgust",1,6
"419",1144,"disgust",1,6
"420",1146,"disgust",1,6
"421",1151,"anticipation",1,6
"422",1151,"joy",1,6
"423",1151,"trust",1,6
"424",1154,"trust",1,6
"425",1156,"disgust",1,6
"426",1159,"disgust",1,6
"427",1165,"anticipation",1,6
"428",1166,"joy",1,6
"429",1170,"trust",1,7
"430",1178,"disgust",1,7
"431",1185,"trust",1,7
"432",1215,"fear",1,7
"433",1215,"joy",1,7
"434",1215,"surprise",1,7
"435",1219,"anticipation",1,7
"436",1219,"joy",1,7
"437",1219,"trust",1,7
"438",1226,"anticipation",1,7
"439",1261,"disgust",1,7
"440",1278,"joy",1,7
"441",1278,"trust",1,7
"442",1281,"fear",1,7
"443",1285,"surprise",1,7
"444",1286,"disgust",1,7
"445",1286,"fear",1,7
"446",1289,"trust",1,7
"447",1301,"trust",1,7
"448",1303,"joy",1,7
"449",1304,"joy",1,7
"450",1311,"anger",1,7
"451",1311,"disgust",1,7
"452",1311,"fear",1,7
"453",1311,"sadness",1,7
"454",1312,"disgust",1,7
"455",1313,"joy",1,7
"456",1331,"fear",1,7
"457",1334,"anger",1,7
"458",1334,"disgust",1,7
"459",1334,"fear",1,7
"460",1334,"joy",1,7
"461",1334,"sadness",1,7
"462",1334,"trust",1,7
"463",1348,"trust",1,7
"464",1351,"anger",1,7
"465",1351,"disgust",1,7
"466",1351,"fear",1,7
"467",1351,"sadness",1,7
"468",1359,"anger",1,7
"469",1359,"disgust",1,7
"470",1363,"anticipation",1,7
"471",1363,"trust",1,7
"472",1372,"anger",1,8
"473",1372,"sadness",1,8
"474",1374,"anticipation",1,8
"475",1381,"joy",1,8
"476",1381,"trust",1,8
"477",1386,"trust",1,8
"478",1389,"disgust",1,8
"479",1389,"fear",1,8
"480",1398,"disgust",1,8
"481",1398,"fear",1,8
"482",1399,"trust",1,8
"483",1401,"fear",1,8
"484",1401,"sadness",1,8
"485",1404,"anticipation",1,8
"486",1404,"joy",1,8
"487",1404,"trust",1,8
"488",1415,"trust",1,8
"489",1419,"anticipation",1,8
"490",1419,"disgust",1,8
"491",1419,"joy",1,8
"492",1419,"surprise",1,8
"493",1419,"trust",1,8
"494",1424,"fear",1,8
"495",1440,"disgust",1,8
"496",1440,"sadness",1,8
"497",1452,"anticipation",1,8
"498",1452,"disgust",1,8
"499",1452,"joy",1,8
