"","line","sentiment","n","paragraph"
"1",3,"anger",1,1
"2",3,"fear",1,1
"3",3,"joy",1,1
"4",6,"joy",1,1
"5",7,"anger",1,1
"6",7,"fear",1,1
"7",7,"joy",1,1
"8",12,"anticipation",1,1
"9",12,"joy",3,1
"10",12,"surprise",1,1
"11",12,"trust",2,1
"12",13,"joy",1,1
"13",13,"trust",1,1
"14",15,"anticipation",1,1
"15",17,"joy",1,1
"16",18,"sadness",1,1
"17",19,"fear",1,1
"18",22,"anger",1,1
"19",22,"disgust",1,1
"20",23,"anger",1,1
"21",23,"disgust",1,1
"22",23,"fear",1,1
"23",23,"sadness",1,1
"24",31,"trust",1,1
"25",32,"joy",1,1
"26",37,"anticipation",1,1
"27",37,"fear",1,1
"28",38,"sadness",1,1
"29",40,"anticipation",1,1
"30",41,"anger",1,1
"31",49,"joy",1,1
"32",53,"joy",1,1
"33",56,"anticipation",1,1
"34",56,"joy",1,1
"35",56,"surprise",1,1
"36",56,"trust",2,1
"37",60,"joy",1,1
"38",60,"sadness",1,1
"39",66,"joy",1,1
"40",66,"sadness",1,1
"41",67,"anticipation",1,1
"42",67,"fear",1,1
"43",70,"joy",1,1
"44",73,"joy",1,1
"45",73,"trust",1,1
"46",74,"joy",1,1
"47",78,"anticipation",1,1
"48",78,"joy",1,1
"49",78,"surprise",1,1
"50",81,"anticipation",2,1
"51",81,"joy",2,1
"52",81,"sadness",1,1
"53",81,"trust",2,1
"54",85,"sadness",1,1
"55",86,"anger",1,1
"56",86,"fear",1,1
"57",87,"anger",1,1
"58",87,"disgust",1,1
"59",89,"anticipation",1,1
"60",89,"disgust",1,1
"61",89,"joy",1,1
"62",89,"surprise",1,1
"63",89,"trust",1,1
"64",90,"sadness",1,1
"65",91,"anticipation",1,1
"66",91,"joy",1,1
"67",91,"surprise",1,1
"68",91,"trust",1,1
"69",93,"anger",1,1
"70",93,"anticipation",1,1
"71",93,"fear",2,1
"72",93,"joy",1,1
"73",93,"surprise",2,1
"74",94,"trust",1,1
"75",95,"anger",1,1
"76",95,"anticipation",1,1
"77",95,"joy",1,1
"78",95,"surprise",1,1
"79",101,"sadness",1,1
"80",103,"anger",1,1
"81",103,"anticipation",1,1
"82",103,"fear",1,1
"83",103,"surprise",1,1
"84",104,"joy",2,1
"85",104,"trust",1,1
"86",105,"trust",1,1
"87",106,"sadness",1,1
"88",111,"anger",2,1
"89",111,"disgust",1,1
"90",111,"fear",2,1
"91",111,"surprise",2,1
"92",114,"joy",1,1
"93",115,"fear",1,1
"94",115,"surprise",1,1
"95",118,"sadness",1,1
"96",118,"trust",1,1
"97",119,"sadness",1,1
"98",120,"joy",1,1
"99",122,"disgust",1,1
"100",122,"surprise",1,1
"101",122,"trust",1,1
"102",124,"anger",1,1
"103",124,"disgust",1,1
"104",124,"fear",1,1
"105",125,"anger",1,1
"106",125,"disgust",1,1
"107",125,"fear",2,1
"108",125,"sadness",1,1
"109",126,"anger",2,1
"110",126,"disgust",2,1
"111",126,"fear",3,1
"112",126,"sadness",1,1
"113",126,"surprise",2,1
"114",127,"disgust",1,1
"115",129,"anger",1,1
