"","line","sentiment","n","paragraph"
"1",12,"trust",1,1
"2",17,"joy",1,1
"3",21,"disgust",1,1
"4",22,"anticipation",1,1
"5",22,"disgust",1,1
"6",22,"joy",1,1
"7",22,"surprise",1,1
"8",23,"anticipation",1,1
"9",23,"joy",1,1
"10",23,"surprise",1,1
"11",31,"fear",1,1
"12",32,"disgust",1,1
"13",44,"joy",1,1
"14",45,"anticipation",1,1
"15",45,"joy",1,1
"16",45,"sadness",1,1
"17",45,"trust",1,1
"18",47,"disgust",1,1
"19",52,"joy",1,1
"20",52,"trust",1,1
"21",60,"anticipation",1,1
"22",60,"joy",2,1
"23",60,"surprise",1,1
"24",60,"trust",1,1
"25",64,"joy",1,1
"26",64,"surprise",1,1
"27",64,"trust",1,1
"28",75,"anticipation",1,1
"29",82,"joy",1,1
"30",82,"trust",1,1
"31",83,"anticipation",1,1
"32",89,"anger",1,1
"33",89,"disgust",1,1
"34",89,"fear",1,1
"35",89,"joy",1,1
"36",89,"sadness",1,1
"37",89,"trust",1,1
"38",94,"anticipation",1,1
"39",94,"trust",1,1
"40",95,"disgust",1,1
"41",95,"surprise",1,1
"42",96,"anger",1,1
"43",96,"trust",1,1
"44",108,"disgust",1,1
"45",109,"anticipation",1,1
"46",112,"anger",1,1
"47",112,"fear",1,1
"48",112,"sadness",1,1
"49",112,"surprise",1,1
"50",119,"anticipation",1,1
"51",119,"fear",1,1
"52",119,"surprise",1,1
"53",123,"disgust",1,1
"54",123,"sadness",1,1
"55",126,"trust",1,1
"56",133,"anticipation",1,1
"57",173,"anger",1,2
"58",173,"fear",1,2
"59",173,"surprise",1,2
"60",183,"sadness",1,2
"61",185,"fear",1,2
"62",187,"disgust",1,2
"63",187,"sadness",1,2
"64",188,"disgust",1,2
"65",200,"anticipation",1,2
"66",200,"disgust",1,2
"67",200,"joy",1,2
"68",200,"surprise",1,2
"69",200,"trust",1,2
"70",212,"anger",1,2
"71",215,"anger",1,2
"72",217,"anger",1,2
"73",220,"anger",1,2
"74",245,"anger",1,2
"75",263,"joy",1,2
"76",265,"trust",1,2
"77",267,"surprise",1,2
"78",272,"anticipation",1,2
"79",272,"sadness",1,2
"80",306,"sadness",1,2
"81",308,"surprise",1,2
"82",310,"disgust",1,2
"83",312,"fear",1,2
"84",313,"disgust",1,2
"85",313,"sadness",1,2
"86",317,"anticipation",2,2
"87",317,"joy",1,2
"88",317,"trust",1,2
"89",340,"anticipation",1,3
"90",340,"fear",1,3
"91",342,"anger",1,3
"92",342,"anticipation",1,3
"93",350,"anger",1,3
"94",350,"anticipation",1,3
"95",350,"fear",1,3
"96",351,"joy",1,3
"97",353,"anticipation",1,3
"98",353,"trust",1,3
"99",355,"anticipation",1,3
"100",355,"fear",1,3
"101",366,"anticipation",1,3
"102",366,"joy",1,3
"103",366,"surprise",1,3
"104",377,"anger",1,3
"105",377,"disgust",1,3
"106",377,"fear",1,3
"107",377,"sadness",1,3
"108",377,"surprise",1,3
"109",377,"trust",1,3
"110",379,"anger",1,3
"111",379,"anticipation",2,3
"112",379,"disgust",1,3
"113",379,"fear",2,3
"114",379,"joy",1,3
"115",379,"sadness",1,3
"116",379,"surprise",1,3
"117",379,"trust",1,3
"118",380,"disgust",1,3
"119",381,"anticipation",1,3
"120",393,"sadness",1,3
"121",394,"trust",1,3
"122",395,"anger",2,3
"123",397,"disgust",1,3
"124",399,"anticipation",1,3
"125",399,"joy",1,3
"126",399,"surprise",1,3
"127",399,"trust",1,3
"128",402,"anger",1,3
"129",412,"joy",1,3
"130",423,"anticipation",2,3
"131",423,"joy",1,3
"132",423,"trust",1,3
"133",444,"fear",1,3
"134",446,"anticipation",1,3
"135",446,"joy",1,3
"136",446,"surprise",1,3
"137",448,"surprise",1,3
"138",460,"trust",1,3
"139",461,"anticipation",1,3
"140",461,"fear",1,3
"141",463,"trust",1,3
"142",464,"anger",1,3
"143",464,"disgust",1,3
"144",464,"fear",1,3
"145",464,"surprise",1,3
"146",467,"sadness",1,3
"147",473,"sadness",1,3
"148",474,"anger",1,3
"149",474,"fear",1,3
"150",480,"anticipation",1,3
"151",480,"fear",1,3
"152",480,"sadness",1,3
"153",481,"surprise",1,3
"154",484,"anticipation",2,3
"155",487,"anticipation",1,3
"156",490,"anticipation",1,3
"157",494,"anticipation",1,3
"158",494,"fear",1,3
"159",498,"anticipation",1,4
"160",498,"fear",1,4
"161",499,"anticipation",1,4
"162",503,"anticipation",1,4
"163",505,"anger",1,4
"164",505,"anticipation",1,4
"165",505,"fear",1,4
"166",509,"trust",1,4
"167",512,"anticipation",1,4
"168",517,"trust",1,4
"169",529,"joy",1,4
"170",529,"surprise",1,4
"171",531,"anticipation",1,4
"172",532,"anticipation",1,4
"173",532,"surprise",1,4
"174",533,"disgust",1,4
"175",533,"fear",2,4
"176",541,"anticipation",1,4
"177",541,"fear",1,4
"178",541,"sadness",1,4
"179",545,"anger",1,4
"180",545,"disgust",1,4
"181",545,"fear",1,4
"182",545,"sadness",1,4
"183",547,"fear",1,4
"184",561,"anticipation",1,4
"185",563,"trust",1,4
"186",565,"trust",1,4
"187",569,"anticipation",1,4
"188",569,"joy",1,4
"189",569,"sadness",1,4
"190",569,"trust",1,4
"191",570,"disgust",2,4
"192",577,"anticipation",1,4
"193",577,"joy",1,4
"194",577,"sadness",1,4
"195",577,"trust",1,4
"196",585,"trust",1,4
"197",588,"trust",1,4
"198",591,"joy",1,4
"199",591,"surprise",1,4
"200",591,"trust",1,4
"201",596,"trust",1,4
"202",608,"fear",1,4
"203",610,"anticipation",1,4
"204",610,"joy",1,4
"205",610,"surprise",1,4
"206",610,"trust",1,4
"207",616,"sadness",1,4
"208",616,"surprise",1,4
"209",627,"disgust",1,4
"210",630,"trust",1,4
"211",635,"fear",1,4
"212",635,"surprise",1,4
"213",641,"anger",1,4
"214",641,"disgust",1,4
"215",641,"fear",1,4
"216",641,"sadness",1,4
"217",643,"anger",1,4
"218",643,"disgust",1,4
"219",643,"fear",1,4
"220",643,"sadness",1,4
"221",648,"anger",1,4
"222",648,"disgust",1,4
"223",648,"sadness",1,4
"224",666,"anticipation",2,5
"225",666,"disgust",1,5
"226",666,"joy",2,5
"227",666,"surprise",1,5
"228",666,"trust",2,5
"229",667,"anticipation",1,5
"230",677,"trust",1,5
"231",683,"anticipation",1,5
"232",683,"trust",1,5
"233",699,"anticipation",1,5
"234",699,"disgust",1,5
"235",699,"joy",1,5
"236",699,"surprise",1,5
"237",699,"trust",1,5
"238",700,"anticipation",1,5
"239",700,"joy",1,5
"240",700,"trust",1,5
"241",709,"anticipation",1,5
"242",711,"surprise",1,5
"243",740,"sadness",1,5
"244",740,"trust",1,5
"245",742,"fear",1,5
"246",746,"fear",1,5
"247",747,"anticipation",1,5
"248",754,"anticipation",1,5
"249",757,"anger",2,5
"250",757,"anticipation",1,5
"251",757,"disgust",2,5
"252",757,"fear",2,5
"253",757,"joy",1,5
"254",757,"sadness",3,5
"255",757,"surprise",2,5
"256",757,"trust",1,5
"257",758,"anticipation",1,5
"258",759,"anticipation",1,5
"259",759,"joy",1,5
"260",759,"trust",1,5
"261",775,"joy",1,5
"262",775,"surprise",1,5
"263",775,"trust",1,5
"264",782,"anticipation",1,5
"265",782,"joy",1,5
"266",782,"sadness",1,5
"267",782,"trust",1,5
"268",786,"surprise",1,5
"269",791,"anger",1,5
"270",791,"anticipation",1,5
"271",791,"disgust",1,5
"272",791,"fear",1,5
"273",791,"joy",2,5
"274",791,"sadness",1,5
"275",791,"surprise",1,5
