"","line","sentiment","n","paragraph"
"1",23,"anticipation",1,1
"2",23,"joy",1,1
"3",23,"surprise",1,1
"4",23,"trust",1,1
"5",25,"anger",1,1
"6",25,"anticipation",1,1
"7",25,"disgust",1,1
"8",25,"joy",1,1
"9",25,"surprise",1,1
"10",25,"trust",1,1
"11",30,"fear",1,1
"12",30,"sadness",1,1
"13",32,"anger",1,1
"14",32,"disgust",2,1
"15",32,"fear",2,1
"16",32,"sadness",1,1
"17",32,"surprise",1,1
"18",33,"anger",1,1
"19",33,"fear",1,1
"20",39,"anticipation",1,1
"21",39,"fear",1,1
"22",41,"anticipation",1,1
"23",44,"anticipation",1,1
"24",44,"disgust",1,1
"25",44,"fear",1,1
"26",44,"joy",1,1
"27",44,"surprise",1,1
"28",44,"trust",1,1
"29",52,"anticipation",1,1
"30",52,"joy",1,1
"31",53,"anticipation",1,1
"32",53,"joy",1,1
"33",53,"trust",1,1
"34",54,"fear",1,1
"35",54,"surprise",1,1
"36",55,"anger",1,1
"37",55,"fear",1,1
"38",55,"sadness",1,1
"39",59,"surprise",1,1
"40",60,"anger",1,1
"41",60,"anticipation",3,1
"42",60,"fear",1,1
"43",60,"joy",2,1
"44",60,"surprise",1,1
"45",60,"trust",2,1
"46",63,"disgust",1,1
"47",63,"fear",1,1
"48",64,"anger",1,1
"49",64,"anticipation",1,1
"50",64,"fear",1,1
"51",64,"joy",2,1
"52",64,"trust",2,1
"53",71,"anger",1,1
"54",71,"disgust",1,1
"55",71,"fear",1,1
"56",71,"sadness",1,1
"57",72,"joy",1,1
"58",76,"joy",1,1
"59",83,"sadness",1,1
"60",84,"joy",1,1
"61",90,"sadness",1,1
"62",91,"fear",1,1
"63",91,"sadness",1,1
"64",103,"anticipation",1,1
"65",103,"joy",1,1
"66",103,"surprise",1,1
"67",103,"trust",1,1
"68",109,"sadness",1,1
"69",109,"surprise",1,1
"70",111,"joy",1,1
"71",111,"trust",1,1
"72",115,"anticipation",1,1
"73",122,"joy",1,1
"74",127,"anticipation",1,1
"75",127,"joy",1,1
"76",127,"surprise",1,1
"77",127,"trust",1,1
"78",147,"fear",1,1
"79",147,"joy",1,1
"80",147,"trust",1,1
"81",151,"anticipation",1,1
"82",151,"joy",1,1
"83",151,"sadness",1,1
"84",151,"trust",1,1
"85",152,"anticipation",1,1
"86",153,"anticipation",1,1
"87",153,"fear",1,1
"88",153,"joy",1,1
"89",153,"trust",1,1
"90",158,"joy",1,1
"91",173,"joy",1,1
"92",173,"surprise",1,1
"93",182,"joy",1,1
"94",186,"anticipation",1,1
"95",186,"joy",1,1
"96",186,"trust",1,1
"97",194,"sadness",1,1
"98",195,"anger",1,1
"99",195,"anticipation",1,1
"100",195,"joy",1,1
"101",195,"trust",1,1
"102",198,"anger",1,1
"103",198,"disgust",1,1
"104",198,"fear",1,1
"105",198,"sadness",1,1
"106",200,"anticipation",1,1
"107",200,"joy",2,1
"108",200,"surprise",1,1
"109",206,"fear",1,1
"110",211,"anger",1,1
"111",212,"joy",1,1
"112",212,"surprise",1,1
"113",212,"trust",1,1
"114",216,"fear",1,1
"115",229,"sadness",1,1
"116",234,"trust",1,1
"117",235,"anticipation",1,1
"118",235,"fear",2,1
"119",235,"sadness",2,1
"120",235,"trust",1,1
"121",259,"anger",1,1
"122",259,"fear",1,1
"123",259,"sadness",1,1
"124",259,"surprise",1,1
"125",264,"anger",1,1
"126",264,"anticipation",1,1
"127",264,"joy",1,1
"128",264,"surprise",1,1
"129",264,"trust",1,1
"130",265,"anger",1,1
"131",265,"disgust",1,1
"132",265,"fear",1,1
"133",265,"sadness",1,1
"134",269,"anticipation",1,1
"135",269,"disgust",1,1
"136",269,"joy",1,1
"137",269,"surprise",1,1
"138",269,"trust",1,1
"139",270,"anticipation",1,1
"140",270,"joy",1,1
"141",270,"sadness",1,1
"142",270,"surprise",1,1
"143",270,"trust",1,1
"144",275,"anticipation",1,1
"145",277,"anticipation",1,1
"146",277,"joy",1,1
"147",277,"surprise",1,1
"148",277,"trust",1,1
"149",278,"anticipation",1,1
"150",278,"disgust",1,1
"151",278,"joy",1,1
"152",278,"surprise",1,1
"153",278,"trust",1,1
"154",283,"anger",1,2
"155",283,"fear",1,2
"156",283,"sadness",1,2
"157",283,"surprise",1,2
"158",286,"joy",1,2
"159",286,"sadness",1,2
"160",286,"trust",1,2
"161",288,"sadness",1,2
"162",289,"joy",1,2
"163",289,"trust",1,2
"164",293,"fear",1,2
"165",293,"trust",1,2
"166",298,"anticipation",1,2
"167",301,"sadness",1,2
"168",309,"fear",1,2
"169",309,"trust",1,2
"170",313,"fear",1,2
"171",313,"trust",2,2
"172",314,"anger",1,2
"173",315,"anticipation",1,2
"174",315,"joy",1,2
"175",315,"sadness",1,2
"176",315,"trust",1,2
"177",323,"anticipation",1,2
"178",327,"surprise",1,2
"179",342,"surprise",1,2
"180",355,"fear",1,2
"181",355,"trust",1,2
"182",378,"sadness",1,2
"183",382,"trust",1,2
"184",403,"anticipation",2,2
"185",403,"joy",3,2
"186",425,"joy",1,2
"187",426,"anticipation",1,2
"188",426,"disgust",1,2
"189",426,"fear",1,2
"190",426,"joy",1,2
"191",426,"sadness",1,2
"192",426,"surprise",1,2
"193",426,"trust",1,2
"194",427,"anger",1,2
"195",427,"disgust",1,2
"196",427,"fear",1,2
"197",436,"trust",1,2
"198",445,"sadness",1,2
"199",445,"surprise",1,2
"200",446,"sadness",1,2
"201",448,"sadness",1,2
"202",448,"trust",1,2
"203",452,"sadness",1,2
"204",456,"anticipation",2,2
"205",456,"disgust",1,2
"206",456,"joy",2,2
"207",456,"surprise",1,2
"208",456,"trust",1,2
"209",458,"anticipation",1,2
"210",467,"anger",1,2
"211",467,"anticipation",1,2
"212",487,"fear",1,2
"213",487,"sadness",1,2
"214",490,"anger",1,2
"215",490,"disgust",1,2
"216",490,"fear",1,2
"217",490,"trust",1,2
"218",496,"anticipation",1,2
"219",496,"joy",1,2
"220",496,"surprise",1,2
"221",500,"trust",1,2
"222",513,"anticipation",1,2
"223",513,"joy",1,2
"224",513,"trust",1,2
"225",518,"joy",1,2
"226",518,"surprise",1,2
"227",518,"trust",2,2
"228",519,"trust",1,2
"229",532,"trust",1,2
"230",536,"trust",1,2
"231",540,"anger",1,2
"232",540,"disgust",1,2
"233",540,"fear",1,2
"234",540,"sadness",1,2
"235",544,"trust",1,2
"236",549,"trust",2,2
"237",553,"trust",1,2
"238",555,"trust",1,2
"239",561,"trust",2,2
"240",566,"anger",1,3
"241",566,"disgust",1,3
"242",566,"fear",1,3
"243",566,"sadness",1,3
"244",567,"sadness",1,3
"245",568,"fear",1,3
"246",568,"trust",1,3
"247",570,"anticipation",1,3
"248",570,"disgust",1,3
"249",570,"joy",1,3
"250",570,"surprise",2,3
"251",570,"trust",2,3
"252",577,"trust",1,3
"253",578,"sadness",1,3
"254",578,"trust",1,3
"255",581,"trust",1,3
"256",592,"joy",1,3
"257",615,"anticipation",1,3
"258",615,"joy",1,3
"259",615,"trust",2,3
"260",622,"fear",1,3
"261",623,"anticipation",1,3
"262",623,"fear",1,3
"263",623,"trust",1,3
"264",631,"anticipation",2,3
"265",631,"joy",2,3
"266",631,"trust",1,3
"267",632,"anger",1,3
"268",632,"anticipation",1,3
"269",632,"fear",1,3
"270",636,"fear",1,3
"271",636,"trust",1,3
"272",641,"anger",1,3
"273",641,"fear",1,3
"274",645,"anger",1,3
"275",645,"anticipation",1,3
"276",645,"fear",1,3
"277",649,"anticipation",1,3
"278",649,"joy",1,3
"279",662,"anticipation",1,3
"280",662,"fear",1,3
"281",662,"surprise",1,3
"282",667,"anger",1,3
"283",667,"disgust",1,3
"284",667,"fear",1,3
"285",667,"sadness",1,3
"286",689,"surprise",1,3
"287",694,"fear",1,3
"288",738,"surprise",1,3
"289",739,"anticipation",1,3
"290",739,"joy",1,3
"291",739,"surprise",1,3
"292",739,"trust",1,3
"293",740,"anger",1,3
"294",740,"fear",1,3
"295",740,"joy",1,3
"296",740,"sadness",1,3
"297",740,"trust",1,3
"298",744,"anticipation",1,3
"299",744,"joy",1,3
"300",744,"surprise",1,3
"301",744,"trust",1,3
"302",754,"joy",1,3
"303",762,"anger",1,3
"304",762,"disgust",1,3
"305",762,"sadness",1,3
"306",763,"surprise",1,3
"307",769,"anticipation",1,3
"308",769,"fear",1,3
"309",769,"joy",1,3
"310",769,"trust",1,3
"311",774,"anticipation",1,3
"312",786,"anticipation",1,3
"313",789,"joy",1,3
"314",809,"trust",1,3
"315",822,"sadness",1,3
"316",826,"joy",1,3
"317",827,"anticipation",1,3
"318",827,"disgust",1,3
"319",827,"fear",1,3
"320",827,"joy",1,3
"321",827,"sadness",1,3
"322",827,"surprise",1,3
"323",827,"trust",1,3
"324",828,"anger",1,3
"325",828,"joy",1,3
"326",828,"surprise",1,3
"327",828,"trust",1,3
"328",833,"trust",1,3
"329",839,"trust",1,3
"330",844,"sadness",1,4
"331",845,"disgust",1,4
"332",849,"anger",1,4
"333",849,"anticipation",1,4
"334",850,"sadness",1,4
"335",856,"fear",1,4
"336",856,"sadness",1,4
"337",859,"anger",1,4
"338",866,"joy",1,4
"339",866,"trust",1,4
"340",870,"disgust",1,4
"341",871,"anticipation",1,4
"342",871,"fear",1,4
"343",871,"surprise",1,4
"344",883,"surprise",1,4
"345",890,"joy",1,4
"346",896,"anticipation",1,4
"347",896,"disgust",1,4
"348",900,"anticipation",1,4
"349",900,"trust",1,4
"350",904,"anger",1,4
"351",912,"sadness",1,4
"352",919,"trust",1,4
"353",920,"trust",1,4
"354",921,"surprise",1,4
"355",930,"anticipation",1,4
"356",934,"sadness",1,4
"357",937,"surprise",1,4
"358",952,"anger",1,4
"359",952,"disgust",1,4
"360",952,"fear",3,4
"361",952,"sadness",3,4
"362",964,"joy",1,4
"363",979,"anticipation",1,4
"364",979,"fear",1,4
"365",985,"anger",1,4
"366",985,"disgust",2,4
"367",985,"fear",1,4
"368",995,"fear",1,4
"369",995,"sadness",1,4
"370",1000,"sadness",1,4
"371",1006,"anger",1,4
"372",1006,"fear",1,4
"373",1006,"sadness",1,4
"374",1011,"trust",1,4
"375",1027,"anticipation",1,4
"376",1027,"joy",2,4
"377",1027,"surprise",1,4
"378",1027,"trust",2,4
"379",1046,"fear",1,4
"380",1053,"anticipation",1,4
"381",1056,"surprise",1,4
"382",1057,"anger",2,4
"383",1057,"disgust",1,4
"384",1057,"fear",2,4
"385",1057,"sadness",1,4
"386",1058,"anger",1,4
"387",1058,"fear",1,4
"388",1058,"surprise",1,4
"389",1071,"trust",1,4
"390",1075,"anger",1,4
"391",1075,"sadness",1,4
"392",1075,"trust",1,4
"393",1076,"anger",2,4
"394",1076,"anticipation",1,4
"395",1076,"disgust",2,4
"396",1076,"fear",1,4
"397",1076,"joy",1,4
"398",1076,"sadness",2,4
"399",1076,"surprise",2,4
"400",1076,"trust",1,4
"401",1081,"trust",1,4
"402",1085,"anger",1,4
"403",1085,"disgust",1,4
"404",1085,"fear",1,4
"405",1085,"sadness",1,4
"406",1089,"anger",1,4
"407",1089,"surprise",1,4
"408",1092,"anticipation",1,4
"409",1093,"fear",1,4
"410",1093,"surprise",1,4
"411",1097,"anger",1,4
"412",1097,"fear",1,4
"413",1102,"anger",1,4
"414",1102,"fear",2,4
"415",1102,"sadness",1,4
"416",1102,"trust",1,4
"417",1105,"fear",1,4
"418",1111,"anticipation",1,4
"419",1111,"sadness",1,4
"420",1114,"sadness",1,4
"421",1120,"anticipation",1,4
"422",1124,"anticipation",1,5
"423",1124,"fear",2,5
"424",1124,"trust",1,5
"425",1127,"anger",1,5
"426",1127,"anticipation",1,5
"427",1127,"disgust",1,5
"428",1127,"fear",2,5
"429",1127,"sadness",1,5
"430",1128,"anger",1,5
"431",1128,"disgust",1,5
"432",1128,"fear",1,5
"433",1134,"fear",1,5
"434",1134,"trust",1,5
"435",1137,"trust",1,5
"436",1138,"anticipation",1,5
"437",1138,"fear",2,5
"438",1144,"anticipation",1,5
"439",1144,"sadness",1,5
"440",1147,"fear",1,5
"441",1147,"trust",1,5
"442",1148,"anger",1,5
"443",1148,"anticipation",1,5
"444",1148,"trust",1,5
"445",1156,"anger",1,5
"446",1156,"disgust",1,5
"447",1156,"fear",1,5
"448",1156,"surprise",1,5
"449",1156,"trust",1,5
"450",1162,"sadness",1,5
"451",1165,"anticipation",1,5
"452",1165,"trust",1,5
"453",1180,"joy",1,5
"454",1186,"trust",2,5
"455",1215,"joy",1,5
"456",1215,"trust",1,5
"457",1230,"anticipation",2,5
"458",1230,"joy",2,5
"459",1230,"surprise",1,5
"460",1230,"trust",1,5
"461",1231,"sadness",1,5
"462",1231,"trust",1,5
"463",1259,"anger",1,5
"464",1259,"disgust",1,5
"465",1259,"fear",1,5
"466",1259,"joy",1,5
"467",1259,"sadness",1,5
"468",1259,"surprise",1,5
"469",1263,"trust",1,5
"470",1284,"joy",1,5
"471",1284,"surprise",1,5
"472",1285,"fear",1,5
"473",1285,"joy",1,5
"474",1285,"sadness",1,5
"475",1285,"surprise",1,5
"476",1285,"trust",1,5
"477",1287,"joy",1,5
"478",1287,"surprise",1,5
"479",1289,"anger",1,5
"480",1289,"disgust",1,5
"481",1289,"fear",1,5
"482",1289,"sadness",1,5
"483",1301,"joy",1,5
"484",1301,"trust",1,5
"485",1318,"anticipation",1,5
"486",1318,"trust",1,5
"487",1333,"anticipation",1,5
"488",1333,"joy",1,5
"489",1333,"trust",1,5
"490",1334,"trust",1,5
"491",1338,"anger",1,5
"492",1338,"disgust",1,5
"493",1338,"fear",1,5
"494",1338,"sadness",1,5
"495",1338,"surprise",1,5
"496",1339,"anger",1,5
"497",1339,"disgust",1,5
"498",1339,"fear",1,5
"499",1345,"fear",1,5
"500",1345,"sadness",1,5
"501",1355,"joy",1,5
"502",1355,"trust",1,5
"503",1367,"anger",1,5
"504",1367,"disgust",1,5
"505",1377,"anger",1,5
"506",1377,"disgust",1,5
"507",1377,"fear",1,5
"508",1377,"sadness",1,5
"509",1381,"anger",1,5
"510",1381,"fear",1,5
"511",1381,"sadness",2,5
"512",1381,"surprise",1,5
"513",1385,"anger",1,5
"514",1385,"fear",1,5
"515",1389,"trust",2,5
"516",1397,"anger",1,5
"517",1400,"anticipation",1,5
"518",1407,"surprise",1,6
"519",1408,"anger",1,6
"520",1412,"trust",1,6
"521",1419,"anticipation",1,6
"522",1419,"fear",1,6
"523",1432,"anticipation",1,6
"524",1432,"disgust",1,6
"525",1432,"fear",1,6
"526",1432,"surprise",1,6
"527",1437,"trust",1,6
"528",1448,"anticipation",1,6
"529",1448,"disgust",1,6
"530",1448,"joy",1,6
"531",1448,"surprise",1,6
"532",1448,"trust",1,6
"533",1452,"trust",1,6
"534",1458,"anger",1,6
"535",1458,"disgust",1,6
"536",1458,"sadness",1,6
"537",1464,"anger",1,6
"538",1464,"anticipation",1,6
"539",1464,"fear",1,6
"540",1464,"sadness",1,6
