line,sentiment,n,paragraph
1,sadness,1,1
5,sadness,1,1
7,joy,1,1
8,joy,1,1
10,joy,1,1
10,surprise,1,1
10,trust,1,1
13,sadness,1,1
15,anger,1,1
15,fear,1,1
15,sadness,1,1
17,anticipation,1,1
17,disgust,1,1
17,fear,1,1
17,surprise,1,1
19,anger,2,1
19,disgust,1,1
19,fear,2,1
19,sadness,1,1
20,disgust,1,1
20,fear,1,1
20,surprise,1,1
22,anticipation,1,1
22,fear,1,1
22,joy,1,1
22,trust,1,1
23,anger,1,1
23,disgust,1,1
23,fear,1,1
23,sadness,1,1
27,anger,1,1
27,disgust,1,1
27,fear,1,1
27,surprise,1,1
31,sadness,1,1
34,anticipation,1,1
34,joy,1,1
34,trust,1,1
37,sadness,1,1
42,anger,1,1
42,fear,1,1
42,sadness,1,1
52,joy,1,1
53,anger,2,1
53,disgust,1,1
53,fear,1,1
53,sadness,1,1
59,sadness,1,1
59,surprise,1,1
71,trust,1,1
78,anticipation,1,1
78,joy,1,1
78,trust,1,1
85,anticipation,1,1
102,anticipation,1,1
102,joy,1,1
102,surprise,1,1
102,trust,1,1
105,anger,1,1
105,disgust,1,1
105,sadness,1,1
109,anticipation,1,1
109,joy,1,1
109,trust,1,1
114,anticipation,2,1
114,joy,2,1
114,trust,2,1
116,joy,1,1
116,trust,1,1
118,anger,1,1
118,anticipation,1,1
118,joy,1,1
146,trust,1,1
151,anger,1,1
151,anticipation,1,1
154,anticipation,1,1
154,trust,1,1
158,anticipation,1,1
158,joy,1,1
158,surprise,1,1
158,trust,1,1
168,anticipation,1,1
168,surprise,1,1
172,joy,1,1
172,sadness,1,1
196,trust,1,1
200,anticipation,1,2
200,joy,1,2
200,surprise,1,2
200,trust,1,2
202,trust,1,2
205,anger,1,2
215,anger,1,2
215,anticipation,2,2
215,joy,1,2
219,anger,1,2
219,disgust,1,2
219,fear,1,2
219,sadness,1,2
231,fear,1,2
231,sadness,1,2
239,joy,1,2
239,trust,1,2
252,anticipation,1,2
267,anticipation,1,2
267,joy,1,2
267,sadness,1,2
267,trust,1,2
280,anticipation,1,2
281,sadness,1,2
286,fear,1,2
292,anger,1,2
292,anticipation,1,2
302,anticipation,1,2
307,anger,1,2
307,disgust,1,2
307,fear,1,2
307,joy,1,2
307,surprise,1,2
307,trust,1,2
312,anger,1,2
312,disgust,1,2
314,anger,1,2
314,disgust,1,2
323,anger,1,2
323,disgust,1,2
325,anger,1,2
325,disgust,1,2
329,trust,1,2
331,surprise,1,2
334,anger,1,2
334,disgust,1,2
334,fear,1,2
334,joy,1,2
334,surprise,1,2
334,trust,2,2
336,anger,1,2
336,disgust,1,2
336,fear,1,2
336,joy,1,2
336,surprise,1,2
336,trust,1,2
338,anger,1,2
338,fear,1,2
338,sadness,1,2
344,anger,1,2
344,disgust,1,2
345,joy,1,2
345,surprise,1,2
345,trust,1,2
352,anticipation,1,2
352,joy,1,2
352,surprise,1,2
352,trust,1,2
354,joy,3,2
354,trust,2,2
355,surprise,1,2
357,trust,1,2
360,anticipation,1,2
360,fear,1,2
366,anticipation,2,2
366,joy,2,2
366,surprise,2,2
366,trust,2,2
367,joy,1,2
367,surprise,1,2
367,trust,1,2
372,joy,1,2
373,sadness,1,2
381,anticipation,1,2
381,joy,1,2
381,trust,1,2
382,anger,1,2
382,fear,2,2
382,sadness,1,2
383,anger,1,2
383,anticipation,1,2
383,disgust,1,2
383,fear,1,2
383,joy,1,2
383,sadness,1,2
383,surprise,1,2
383,trust,1,2
387,joy,1,2
387,sadness,1,2
387,trust,1,2
392,anticipation,1,2
392,fear,1,2
396,anger,1,2
396,anticipation,1,2
396,disgust,1,2
396,fear,1,2
396,sadness,1,2
396,surprise,1,2
397,sadness,1,2
398,trust,1,2
404,anticipation,1,3
408,surprise,1,3
413,anticipation,1,3
413,joy,1,3
413,sadness,1,3
413,trust,1,3
415,disgust,1,3
415,sadness,1,3
435,anticipation,1,3
435,joy,1,3
435,surprise,1,3
445,trust,1,3
446,fear,1,3
448,anger,1,3
448,fear,1,3
448,sadness,1,3
451,surprise,1,3
470,trust,1,3
473,trust,1,3
479,anger,1,3
479,disgust,1,3
483,joy,1,3
483,trust,1,3
491,trust,1,3
494,fear,1,3
494,surprise,1,3
497,anticipation,1,3
497,fear,1,3
497,joy,1,3
497,sadness,1,3
497,trust,1,3
498,anger,1,3
498,fear,1,3
498,sadness,1,3
500,joy,1,3
500,sadness,1,3
517,anticipation,1,3
517,joy,1,3
517,trust,1,3
519,joy,1,3
519,surprise,1,3
519,trust,1,3
532,sadness,1,3
534,anticipation,1,3
534,fear,1,3
535,anticipation,1,3
540,joy,1,3
540,sadness,1,3
543,fear,1,3
543,sadness,1,3
549,joy,1,3
549,sadness,1,3
554,anger,1,3
554,anticipation,2,3
554,fear,1,3
556,disgust,1,3
556,fear,1,3
557,anger,2,3
557,fear,2,3
561,anticipation,1,3
561,fear,1,3
561,sadness,1,3
586,anger,1,3
602,anger,1,4
609,anticipation,1,4
609,joy,1,4
609,trust,1,4
611,anger,1,4
611,disgust,1,4
614,disgust,1,4
617,disgust,1,4
617,surprise,1,4
618,disgust,1,4
632,sadness,1,4
633,anticipation,1,4
633,joy,1,4
633,trust,1,4
644,sadness,1,4
649,anticipation,1,4
684,sadness,1,4
702,joy,1,4
