line,sentiment,n,paragraph
1,anticipation,6,1
1,fear,4,1
1,joy,5,1
1,trust,5,1
2,anticipation,1,1
2,joy,1,1
2,trust,1,1
3,anger,1,1
3,anticipation,1,1
3,disgust,1,1
3,joy,2,1
3,sadness,1,1
3,trust,1,1
5,sadness,1,2
5,surprise,1,2
6,trust,1,2
7,anger,1,2
7,anticipation,1,2
7,disgust,1,2
7,fear,1,2
7,joy,2,2
7,sadness,1,2
7,surprise,1,2
7,trust,2,2
9,anger,4,3
9,anticipation,2,3
9,disgust,3,3
9,fear,2,3
9,joy,1,3
9,sadness,1,3
9,trust,1,3
11,anger,4,3
11,anticipation,1,3
11,disgust,1,3
11,fear,7,3
11,sadness,1,3
11,surprise,2,3
11,trust,2,3
12,fear,2,3
12,sadness,1,3
13,anticipation,2,4
13,fear,1,4
13,joy,1,4
13,sadness,1,4
13,trust,1,4
14,trust,1,4
15,anticipation,2,4
15,joy,3,4
15,surprise,2,4
15,trust,2,4
16,joy,1,4
16,trust,1,4
17,trust,1,4
18,joy,2,5
18,surprise,1,5
18,trust,1,5
19,anticipation,1,5
19,joy,1,5
19,surprise,1,5
20,sadness,1,5
20,trust,1,5
21,anticipation,1,5
21,joy,1,5
21,surprise,1,5
22,anger,1,6
22,anticipation,2,6
22,disgust,1,6
22,joy,2,6
22,sadness,1,6
22,trust,1,6
23,anger,1,6
23,anticipation,5,6
23,fear,1,6
23,joy,7,6
23,sadness,4,6
23,surprise,4,6
23,trust,3,6
24,anticipation,2,6
24,joy,1,6
24,sadness,2,6
24,surprise,3,6
25,anticipation,2,6
25,joy,1,6
25,trust,1,6
26,anticipation,4,7
26,disgust,1,7
26,fear,1,7
26,joy,1,7
26,sadness,1,7
26,trust,2,7
28,joy,1,7
29,anger,2,7
29,disgust,1,7
29,fear,3,7
29,sadness,1,7
29,surprise,1,7
29,trust,2,7
30,anticipation,1,7
30,fear,3,7
30,sadness,1,7
30,trust,2,7
31,anger,15,8
31,anticipation,5,8
31,disgust,12,8
31,fear,24,8
31,joy,4,8
31,sadness,5,8
31,surprise,4,8
31,trust,19,8
32,anger,5,8
32,anticipation,1,8
32,disgust,4,8
