line,sentiment,n,paragraph
1,anger,1,1
1,disgust,1,1
1,fear,1,1
1,sadness,1,1
12,surprise,1,1
17,joy,1,1
19,trust,1,1
20,anger,1,1
23,anticipation,1,1
23,joy,1,1
23,surprise,1,1
23,trust,1,1
25,anger,1,1
25,trust,1,1
26,anticipation,1,1
27,anticipation,1,1
27,joy,1,1
27,trust,1,1
32,trust,1,1
33,anger,1,1
45,fear,1,1
45,sadness,1,1
49,anticipation,1,1
49,joy,1,1
50,sadness,1,1
51,anger,1,1
51,anticipation,1,1
51,disgust,1,1
51,fear,1,1
51,joy,1,1
51,sadness,1,1
51,surprise,1,1
51,trust,1,1
70,anger,1,1
70,fear,1,1
72,fear,1,1
72,sadness,1,1
75,surprise,1,1
80,fear,1,1
80,surprise,1,1
83,anger,1,1
83,anticipation,1,1
84,anticipation,1,1
84,fear,1,1
84,trust,1,1
91,anger,1,1
91,sadness,1,1
100,joy,1,1
100,sadness,1,1
106,trust,1,1
107,fear,1,1
111,fear,1,1
111,sadness,1,1
116,anticipation,1,1
117,surprise,1,1
120,anger,1,1
127,fear,1,1
127,sadness,1,1
137,anger,1,1
137,anticipation,1,1
137,disgust,1,1
137,joy,1,1
137,surprise,1,1
137,trust,1,1
138,anticipation,1,1
138,disgust,1,1
138,joy,1,1
138,surprise,1,1
138,trust,1,1
141,anticipation,1,1
141,joy,1,1
141,sadness,1,1
145,anger,1,1
145,disgust,1,1
145,fear,1,1
145,joy,1,1
145,sadness,2,1
145,surprise,1,1
148,anger,1,1
148,disgust,1,1
148,fear,1,1
148,sadness,1,1
148,surprise,1,1
149,trust,1,1
151,anger,1,2
151,disgust,1,2
151,fear,1,2
151,sadness,1,2
151,surprise,1,2
152,anticipation,1,2
153,anticipation,1,2
153,joy,1,2
153,trust,1,2
155,anger,1,2
155,fear,1,2
160,fear,1,2
160,joy,1,2
160,sadness,2,2
164,anger,1,2
164,disgust,1,2
164,fear,1,2
164,sadness,1,2
165,fear,1,2
165,sadness,1,2
176,anger,1,2
176,disgust,1,2
176,fear,1,2
176,joy,1,2
176,sadness,1,2
177,anger,1,2
177,anticipation,1,2
177,fear,1,2
177,joy,1,2
180,fear,1,2
180,sadness,1,2
183,joy,1,2
183,trust,1,2
189,anticipation,1,2
189,joy,1,2
189,surprise,1,2
189,trust,1,2
204,anger,1,2
204,disgust,1,2
204,fear,1,2
204,sadness,1,2
206,trust,1,2
207,anticipation,2,2
207,joy,2,2
207,sadness,1,2
207,surprise,1,2
208,anger,1,2
208,disgust,1,2
208,fear,1,2
208,sadness,1,2
210,anticipation,1,2
210,joy,1,2
215,anger,1,2
215,disgust,1,2
215,fear,1,2
215,sadness,1,2
220,fear,1,2
220,sadness,1,2
222,anger,1,2
222,disgust,1,2
222,fear,1,2
222,sadness,1,2
224,anticipation,1,2
224,fear,1,2
224,joy,1,2
224,sadness,1,2
224,surprise,1,2
224,trust,1,2
226,anger,1,2
226,anticipation,1,2
226,fear,1,2
226,joy,1,2
226,sadness,1,2
226,surprise,2,2
231,anticipation,1,2
235,anticipation,1,2
235,joy,1,2
238,joy,1,2
238,trust,2,2
240,anticipation,1,2
240,disgust,1,2
240,joy,1,2
240,surprise,1,2
240,trust,1,2
248,anger,1,2
248,disgust,1,2
249,anger,1,2
249,disgust,1,2
249,fear,1,2
249,sadness,1,2
250,anticipation,1,2
250,fear,1,2
250,sadness,1,2
261,trust,1,2
263,anticipation,1,2
264,anger,1,2
264,fear,1,2
268,surprise,1,2
277,disgust,1,2
277,fear,1,2
277,joy,1,2
277,surprise,1,2
277,trust,1,2
278,anticipation,1,2
278,joy,1,2
278,trust,1,2
284,surprise,1,2
294,anger,1,2
294,fear,1,2
294,surprise,2,2
299,fear,1,2
300,anger,1,3
300,anticipation,1,3
300,fear,1,3
300,joy,1,3
300,trust,1,3
301,sadness,1,3
303,anticipation,1,3
303,fear,1,3
303,joy,1,3
303,sadness,1,3
303,trust,2,3
305,anticipation,1,3
307,anger,1,3
308,anticipation,1,3
308,fear,1,3
308,sadness,1,3
312,anticipation,1,3
312,joy,1,3
312,trust,1,3
314,anticipation,1,3
314,joy,1,3
314,trust,1,3
318,anticipation,1,3
318,joy,1,3
318,trust,1,3
319,trust,2,3
323,fear,2,3
341,anger,2,3
343,trust,1,3
352,trust,1,3
354,fear,1,3
355,anger,1,3
355,fear,1,3
355,sadness,1,3
362,fear,1,3
362,sadness,1,3
366,fear,1,3
366,sadness,1,3
366,trust,1,3
369,anticipation,1,3
369,fear,1,3
370,fear,1,3
380,joy,1,3
380,surprise,1,3
380,trust,1,3
381,fear,1,3
389,fear,1,3
389,sadness,1,3
398,anger,1,3
398,anticipation,2,3
398,fear,1,3
398,joy,2,3
398,sadness,2,3
398,surprise,1,3
398,trust,2,3
401,fear,1,3
401,sadness,1,3
402,anger,1,3
402,fear,1,3
402,sadness,1,3
403,joy,1,3
403,trust,1,3
408,trust,1,3
409,anger,1,3
409,anticipation,2,3
409,disgust,2,3
409,fear,1,3
409,joy,2,3
409,sadness,2,3
409,surprise,1,3
409,trust,2,3
