line,sentiment,n,paragraph
1,anger,5,1
1,anticipation,10,1
1,disgust,7,1
1,fear,10,1
1,joy,8,1
1,sadness,17,1
1,surprise,4,1
1,trust,25,1
2,anger,1,1
2,anticipation,1,1
2,disgust,1,1
2,fear,2,1
2,joy,5,1
2,sadness,4,1
2,surprise,1,1
2,trust,3,1
3,anger,3,1
3,anticipation,5,1
3,disgust,1,1
3,fear,2,1
3,joy,11,1
3,sadness,5,1
3,surprise,4,1
3,trust,5,1
4,anticipation,2,2
4,disgust,6,2
4,joy,5,2
4,sadness,1,2
4,surprise,2,2
4,trust,1,2
5,anticipation,6,2
5,disgust,1,2
5,joy,15,2
5,sadness,1,2
5,surprise,6,2
5,trust,7,2
6,anger,5,2
6,anticipation,7,2
6,disgust,11,2
6,fear,7,2
6,joy,7,2
6,sadness,9,2
6,surprise,4,2
6,trust,6,2
7,anger,6,2
7,anticipation,5,2
7,disgust,11,2
7,fear,6,2
7,joy,9,2
7,sadness,4,2
7,surprise,1,2
7,trust,2,2
8,anger,6,3
8,anticipation,9,3
8,disgust,11,3
8,fear,5,3
8,joy,8,3
8,sadness,2,3
8,surprise,4,3
8,trust,6,3
9,anger,1,3
9,anticipation,7,3
9,disgust,3,3
9,fear,2,3
9,joy,5,3
9,sadness,2,3
9,surprise,3,3
9,trust,6,3
10,anger,3,3
10,anticipation,11,3
10,disgust,7,3
10,fear,4,3
10,joy,17,3
10,sadness,6,3
10,surprise,10,3
10,trust,13,3
11,anger,2,3
11,anticipation,11,3
11,disgust,8,3
11,fear,6,3
11,joy,15,3
11,sadness,6,3
11,surprise,4,3
11,trust,14,3
12,anger,2,4
12,anticipation,4,4
12,disgust,10,4
12,fear,3,4
12,joy,5,4
12,sadness,2,4
12,trust,6,4
13,anger,1,4
13,anticipation,4,4
13,disgust,5,4
13,fear,1,4
13,joy,5,4
13,surprise,4,4
13,trust,5,4
14,anticipation,2,4
14,disgust,5,4
14,joy,4,4
14,sadness,1,4
14,surprise,1,4
14,trust,5,4
15,anger,1,4
15,anticipation,5,4
15,disgust,2,4
15,fear,4,4
15,joy,4,4
15,sadness,3,4
15,surprise,4,4
15,trust,6,4
16,anger,3,5
16,anticipation,5,5
16,disgust,8,5
16,fear,4,5
16,joy,2,5
16,sadness,5,5
16,surprise,2,5
16,trust,4,5
17,anticipation,4,5
17,disgust,7,5
17,fear,1,5
17,joy,2,5
17,sadness,2,5
17,trust,2,5
18,anger,1,5
18,anticipation,4,5
18,disgust,3,5
18,fear,3,5
18,joy,4,5
18,sadness,2,5
18,trust,2,5
19,anticipation,5,5
19,disgust,3,5
19,fear,4,5
19,joy,4,5
19,sadness,3,5
19,surprise,3,5
19,trust,6,5
20,anticipation,4,6
20,disgust,2,6
20,fear,1,6
20,joy,5,6
20,sadness,2,6
20,surprise,4,6
20,trust,4,6
21,anger,1,6
21,anticipation,5,6
21,disgust,3,6
21,fear,1,6
21,joy,8,6
21,sadness,2,6
21,surprise,5,6
21,trust,7,6
22,anger,1,6
22,anticipation,2,6
22,disgust,4,6
22,fear,3,6
22,joy,4,6
22,sadness,1,6
22,surprise,2,6
22,trust,1,6
23,anticipation,6,6
23,disgust,4,6
23,joy,8,6
23,sadness,1,6
23,surprise,3,6
23,trust,4,6
24,anger,1,7
24,anticipation,3,7
24,disgust,2,7
24,fear,3,7
24,joy,5,7
24,sadness,1,7
24,surprise,2,7
24,trust,4,7
25,anger,1,7
25,anticipation,3,7
25,disgust,3,7
25,joy,2,7
25,sadness,2,7
25,surprise,1,7
25,trust,2,7
26,anger,3,7
26,anticipation,3,7
26,disgust,3,7
26,fear,4,7
26,joy,7,7
26,sadness,5,7
26,surprise,2,7
26,trust,5,7
27,anger,2,7
27,anticipation,8,7
27,disgust,5,7
27,fear,4,7
27,joy,9,7
27,sadness,3,7
27,surprise,3,7
27,trust,5,7
28,anticipation,6,8
28,disgust,6,8
28,fear,2,8
28,joy,5,8
28,sadness,3,8
28,surprise,2,8
28,trust,6,8
29,anger,3,8
29,anticipation,5,8
29,disgust,3,8
29,fear,3,8
29,joy,6,8
29,sadness,1,8
29,surprise,4,8
29,trust,6,8
30,anger,2,8
30,anticipation,3,8
30,disgust,2,8
30,fear,2,8
30,joy,4,8
30,sadness,3,8
30,surprise,4,8
30,trust,2,8
31,anger,4,8
31,anticipation,4,8
31,disgust,9,8
31,fear,4,8
31,joy,3,8
31,sadness,3,8
31,surprise,3,8
31,trust,2,8
32,anger,1,9
32,anticipation,7,9
32,disgust,4,9
32,fear,1,9
32,joy,4,9
32,sadness,2,9
32,surprise,4,9
32,trust,4,9
33,anticipation,2,9
33,disgust,2,9
33,fear,2,9
33,joy,5,9
33,sadness,1,9
33,trust,2,9
34,anger,2,9
34,anticipation,4,9
34,fear,2,9
34,joy,8,9
34,sadness,6,9
34,surprise,2,9
34,trust,5,9
35,anger,4,9
35,anticipation,3,9
35,disgust,1,9
35,fear,4,9
35,joy,3,9
35,sadness,3,9
35,surprise,3,9
35,trust,3,9
36,fear,3,10
36,joy,2,10
36,sadness,4,10
36,surprise,2,10
36,trust,4,10
37,anger,1,10
37,anticipation,3,10
37,disgust,3,10
37,fear,4,10
37,joy,4,10
37,sadness,4,10
37,surprise,1,10
37,trust,5,10
38,anticipation,1,10
38,disgust,3,10
38,joy,2,10
38,trust,1,10
39,anger,1,11
39,anticipation,7,11
39,disgust,5,11
39,fear,2,11
39,joy,3,11
39,sadness,2,11
39,surprise,2,11
39,trust,6,11
40,anger,4,11
40,anticipation,8,11
40,disgust,5,11
40,fear,4,11
40,joy,5,11
40,surprise,5,11
40,trust,9,11
41,anger,5,11
41,anticipation,4,11
41,disgust,8,11
41,fear,9,11
41,joy,3,11
41,sadness,7,11
41,surprise,6,11
41,trust,6,11
42,anger,1,11
42,anticipation,1,11
42,disgust,4,11
42,joy,4,11
42,sadness,1,11
42,trust,4,11
43,anger,3,12
43,anticipation,6,12
43,disgust,2,12
43,fear,4,12
43,joy,5,12
43,sadness,1,12
43,surprise,4,12
43,trust,8,12
44,anticipation,2,12
44,disgust,5,12
44,joy,3,12
44,sadness,1,12
44,surprise,1,12
44,trust,3,12
45,anger,3,12
45,anticipation,4,12
45,disgust,3,12
45,fear,8,12
45,joy,7,12
45,sadness,5,12
45,surprise,9,12
45,trust,2,12
46,anger,1,12
46,anticipation,4,12
46,disgust,10,12
46,fear,1,12
46,joy,1,12
46,sadness,4,12
46,trust,1,12
47,anger,6,13
47,anticipation,9,13
47,disgust,12,13
47,fear,6,13
47,joy,8,13
47,sadness,3,13
47,surprise,5,13
47,trust,10,13
48,anger,1,13
48,anticipation,6,13
48,disgust,6,13
48,fear,6,13
48,joy,5,13
48,sadness,2,13
48,surprise,4,13
48,trust,3,13
49,anger,5,13
49,anticipation,2,13
49,disgust,9,13
49,fear,3,13
49,joy,1,13
49,sadness,3,13
49,trust,4,13
50,anger,2,13
50,anticipation,2,13
50,disgust,6,13
50,fear,3,13
50,joy,1,13
50,sadness,3,13
50,surprise,1,13
51,anger,4,14
51,anticipation,3,14
51,disgust,2,14
51,fear,4,14
51,joy,2,14
51,surprise,5,14
51,trust,3,14
52,anger,5,14
52,anticipation,3,14
52,disgust,6,14
52,fear,3,14
52,joy,2,14
52,sadness,3,14
52,surprise,2,14
52,trust,7,14
53,anger,4,14
53,anticipation,2,14
53,disgust,6,14
53,fear,2,14
53,joy,3,14
53,sadness,2,14
53,surprise,2,14
53,trust,4,14
54,anger,1,14
54,anticipation,5,14
54,disgust,9,14
54,fear,1,14
54,joy,3,14
54,sadness,2,14
54,surprise,3,14
54,trust,5,14
55,anger,5,15
55,anticipation,4,15
55,disgust,6,15
55,fear,4,15
55,joy,1,15
55,sadness,6,15
55,surprise,2,15
55,trust,1,15
56,anger,8,15
56,anticipation,2,15
56,disgust,6,15
56,fear,10,15
56,joy,3,15
56,sadness,7,15
56,surprise,3,15
56,trust,3,15
57,anger,5,15
57,anticipation,2,15
57,disgust,5,15
57,fear,8,15
57,joy,2,15
57,sadness,11,15
57,surprise,3,15
57,trust,3,15
58,anger,2,15
58,anticipation,2,15
58,disgust,4,15
58,fear,2,15
58,joy,3,15
58,sadness,2,15
58,surprise,1,15
58,trust,4,15
59,anger,3,16
59,anticipation,4,16
59,disgust,4,16
59,fear,6,16
59,joy,2,16
59,sadness,1,16
59,surprise,1,16
59,trust,2,16
60,anger,1,16
60,anticipation,5,16
60,disgust,2,16
60,fear,5,16
60,joy,1,16
60,surprise,4,16
60,trust,2,16
61,anger,9,16
61,anticipation,5,16
61,disgust,1,16
61,fear,9,16
61,joy,2,16
61,sadness,2,16
61,surprise,4,16
61,trust,5,16
62,anger,2,16
62,anticipation,3,16
62,disgust,5,16
62,fear,3,16
62,joy,3,16
62,sadness,7,16
62,surprise,2,16
62,trust,4,16
63,anger,5,17
63,anticipation,4,17
63,disgust,11,17
63,fear,4,17
63,joy,1,17
63,sadness,4,17
63,surprise,2,17
63,trust,2,17
64,anger,4,17
64,disgust,3,17
64,fear,4,17
64,sadness,1,17
64,surprise,4,17
64,trust,1,17
65,anger,1,17
65,anticipation,7,17
65,disgust,7,17
65,fear,7,17
65,joy,4,17
65,sadness,2,17
65,surprise,4,17
65,trust,9,17
66,anger,4,17
66,anticipation,4,17
66,disgust,6,17
66,fear,9,17
66,joy,2,17
66,sadness,11,17
66,surprise,1,17
66,trust,8,17
67,anger,5,18
67,anticipation,4,18
67,disgust,8,18
67,fear,3,18
67,joy,3,18
67,sadness,2,18
67,surprise,1,18
67,trust,3,18
68,anger,5,18
68,anticipation,3,18
68,disgust,8,18
68,fear,7,18
68,joy,3,18
68,sadness,2,18
68,surprise,4,18
68,trust,8,18
69,anger,13,18
69,anticipation,2,18
69,disgust,14,18
69,fear,10,18
69,joy,1,18
69,sadness,8,18
69,surprise,1,18
69,trust,4,18
70,anger,3,18
70,anticipation,3,18
70,disgust,6,18
70,fear,2,18
70,joy,4,18
70,sadness,7,18
70,trust,7,18
71,anticipation,1,19
71,disgust,6,19
71,fear,1,19
71,joy,2,19
71,sadness,1,19
71,surprise,1,19
71,trust,3,19
72,anger,2,19
72,anticipation,2,19
72,disgust,8,19
72,fear,1,19
72,sadness,3,19
72,trust,3,19
73,anger,1,19
73,anticipation,2,19
73,disgust,3,19
73,fear,5,19
73,sadness,2,19
73,surprise,2,19
73,trust,2,19
74,anticipation,4,19
74,disgust,9,19
74,fear,4,19
74,joy,9,19
74,sadness,2,19
74,surprise,5,19
74,trust,6,19
75,anger,6,20
75,anticipation,1,20
75,disgust,10,20
75,fear,5,20
75,sadness,7,20
75,trust,2,20
76,anger,1,20
76,anticipation,3,20
