line,sentiment,n,paragraph
2,anger,1,1
2,fear,1,1
2,sadness,1,1
2,surprise,1,1
4,anger,1,1
4,anticipation,2,1
4,joy,2,1
4,surprise,1,1
4,trust,2,1
7,anticipation,1,1
7,joy,1,1
7,trust,1,1
10,disgust,1,1
10,fear,1,1
14,sadness,1,1
14,trust,1,1
15,sadness,1,1
19,anger,1,1
19,disgust,1,1
19,trust,1,1
20,sadness,1,1
26,sadness,1,1
27,anger,1,1
27,fear,1,1
27,sadness,1,1
27,surprise,1,1
28,surprise,1,1
31,surprise,1,1
33,anger,1,1
34,anger,1,1
36,sadness,1,1
38,anticipation,1,1
45,anticipation,1,1
45,trust,1,1
50,anticipation,1,1
50,joy,1,1
50,surprise,1,1
50,trust,1,1
51,joy,2,1
51,surprise,1,1
51,trust,1,1
53,anticipation,1,1
53,joy,2,1
53,surprise,3,1
53,trust,2,1
57,anger,1,1
57,anticipation,1,1
57,joy,1,1
57,sadness,1,1
57,surprise,1,1
58,anticipation,1,1
58,disgust,1,1
58,joy,2,1
58,sadness,1,1
58,surprise,1,1
58,trust,2,1
59,anger,1,1
59,disgust,1,1
59,sadness,1,1
61,anticipation,1,1
61,joy,1,1
61,trust,1,1
62,anger,1,1
62,joy,1,1
62,surprise,1,1
62,trust,1,1
65,joy,1,1
65,surprise,1,1
65,trust,1,1
66,anticipation,1,1
66,joy,1,1
66,surprise,1,1
68,anticipation,1,1
68,disgust,1,1
68,joy,1,1
68,surprise,1,1
68,trust,1,1
75,anger,1,1
75,sadness,1,1
77,anger,1,1
77,anticipation,1,1
77,disgust,1,1
77,fear,1,1
77,joy,1,1
77,sadness,3,1
78,joy,1,1
83,anger,1,1
85,anger,1,1
85,disgust,1,1
85,sadness,1,1
87,anticipation,1,1
93,anticipation,1,1
97,anger,1,1
97,fear,1,1
97,sadness,1,1
98,anger,1,1
98,disgust,1,1
98,fear,1,1
98,sadness,1,1
102,surprise,1,1
117,fear,1,1
117,joy,1,1
117,surprise,1,1
119,joy,1,1
121,anticipation,1,1
121,joy,1,1
121,sadness,1,1
121,surprise,1,1
124,sadness,1,1
126,sadness,1,1
127,anger,1,1
127,fear,1,1
127,sadness,1,1
128,anticipation,1,1
132,trust,1,1
134,anger,1,1
134,fear,1,1
134,sadness,1,1
139,disgust,1,1
139,joy,1,1
141,anger,1,1
143,anger,1,1
143,anticipation,1,1
147,fear,1,1
147,sadness,1,1
151,disgust,1,1
152,sadness,1,1
153,fear,1,1
158,joy,1,1
158,surprise,1,1
162,joy,1,1
163,anger,1,1
163,fear,1,1
163,sadness,1,1
166,anger,1,1
166,anticipation,1,1
166,joy,1,1
166,surprise,1,1
166,trust,1,1
168,anger,1,1
169,anger,1,1
172,sadness,1,1
174,anger,1,1
174,disgust,1,1
174,fear,1,1
176,joy,1,1
176,surprise,1,1
176,trust,1,1
177,anger,1,1
177,disgust,1,1
177,fear,1,1
178,anger,1,1
178,trust,1,1
180,anger,1,1
180,disgust,1,1
180,fear,1,1
181,trust,1,1
182,anger,1,1
182,disgust,1,1
182,fear,1,1
185,trust,1,1
196,anticipation,1,1
202,anger,1,2
212,anticipation,1,2
212,surprise,1,2
212,trust,1,2
213,surprise,1,2
214,anticipation,1,2
214,trust,1,2
215,fear,1,2
215,trust,1,2
219,sadness,1,2
223,joy,1,2
223,surprise,1,2
223,trust,1,2
227,anger,1,2
227,disgust,1,2
227,fear,1,2
227,sadness,1,2
230,anticipation,1,2
230,trust,1,2
237,anticipation,1,2
237,disgust,1,2
237,fear,2,2
237,joy,1,2
237,sadness,2,2
237,surprise,1,2
237,trust,1,2
238,sadness,1,2
241,anticipation,1,2
241,fear,1,2
241,joy,1,2
241,trust,1,2
243,anticipation,1,2
243,fear,2,2
243,joy,1,2
243,sadness,1,2
243,trust,1,2
247,joy,1,2
247,surprise,1,2
247,trust,1,2
248,anticipation,2,2
248,joy,2,2
248,trust,2,2
261,joy,1,2
262,anger,1,2
262,anticipation,1,2
262,disgust,1,2
262,fear,2,2
262,sadness,1,2
262,surprise,1,2
266,anticipation,1,2
268,anger,1,2
268,anticipation,1,2
268,disgust,1,2
268,joy,1,2
268,surprise,1,2
268,trust,1,2
272,disgust,1,2
283,surprise,1,2
290,anger,1,2
290,joy,1,2
290,surprise,2,2
298,sadness,1,2
298,surprise,1,2
301,sadness,1,2
308,anger,1,2
308,fear,1,2
309,anger,1,2
309,disgust,1,2
309,fear,1,2
309,sadness,1,2
312,trust,1,2
313,anticipation,1,2
313,joy,1,2
313,trust,1,2
314,anticipation,1,2
314,joy,1,2
314,trust,1,2
315,anger,1,2
315,fear,1,2
315,sadness,1,2
315,trust,1,2
319,anticipation,1,2
319,disgust,1,2
319,joy,1,2
319,surprise,1,2
319,trust,1,2
324,anticipation,1,2
324,joy,1,2
324,surprise,1,2
324,trust,1,2
331,sadness,1,2
339,anger,1,2
339,fear,1,2
339,sadness,1,2
346,trust,1,2
349,anger,1,2
349,disgust,1,2
349,joy,1,2
349,trust,1,2
353,anticipation,1,2
353,trust,1,2
355,anticipation,1,2
355,joy,1,2
355,sadness,1,2
355,trust,1,2
361,anger,1,2
363,anticipation,1,2
363,joy,1,2
363,sadness,1,2
363,surprise,1,2
363,trust,1,2
364,disgust,1,2
365,disgust,1,2
366,anger,1,2
366,disgust,1,2
366,sadness,1,2
368,anger,1,2
371,joy,1,2
371,surprise,1,2
371,trust,1,2
375,anticipation,1,2
375,trust,1,2
377,joy,1,2
377,surprise,1,2
377,trust,1,2
379,anticipation,1,2
379,joy,1,2
379,surprise,1,2
379,trust,1,2
383,joy,2,2
384,anticipation,1,2
385,anticipation,1,2
385,joy,1,2
385,surprise,1,2
385,trust,1,2
388,joy,1,2
390,anger,1,2
390,disgust,1,2
390,sadness,1,2
393,joy,1,2
393,surprise,1,2
393,trust,1,2
394,trust,1,2
395,anger,1,2
395,joy,1,2
395,trust,1,2
401,sadness,1,3
402,anger,1,3
402,disgust,1,3
402,sadness,1,3
405,trust,1,3
411,anger,1,3
411,anticipation,1,3
411,fear,1,3
411,joy,1,3
411,trust,1,3
412,anticipation,1,3
412,joy,1,3
413,sadness,1,3
417,anger,1,3
417,disgust,1,3
417,fear,1,3
417,sadness,1,3
418,trust,1,3
424,disgust,1,3
425,joy,1,3
425,trust,1,3
426,sadness,1,3
430,anger,1,3
430,disgust,1,3
430,fear,1,3
430,sadness,1,3
430,surprise,1,3
432,trust,1,3
434,sadness,1,3
435,anger,1,3
435,anticipation,1,3
435,fear,1,3
435,joy,1,3
435,trust,1,3
438,anger,1,3
438,anticipation,1,3
438,joy,1,3
438,surprise,1,3
438,trust,1,3
443,anger,1,3
443,anticipation,1,3
443,joy,1,3
443,surprise,1,3
443,trust,1,3
452,joy,1,3
452,trust,1,3
454,anger,1,3
454,anticipation,1,3
454,disgust,1,3
454,fear,1,3
454,joy,1,3
454,sadness,1,3
454,surprise,1,3
454,trust,1,3
456,anger,1,3
456,anticipation,1,3
456,disgust,1,3
456,fear,1,3
456,joy,1,3
456,sadness,1,3
456,surprise,1,3
456,trust,1,3
461,trust,1,3
465,surprise,1,3
469,anger,1,3
469,disgust,1,3
469,fear,1,3
