line,sentiment,n,paragraph
2,anticipation,1,1
2,joy,1,1
2,trust,1,1
3,anger,1,1
3,anticipation,2,1
3,fear,1,1
3,joy,2,1
3,sadness,2,1
3,trust,2,1
4,anticipation,1,1
4,joy,1,1
4,trust,1,1
5,anticipation,1,1
5,disgust,1,1
5,joy,1,1
5,trust,2,1
8,sadness,1,1
11,disgust,1,1
13,sadness,1,1
18,disgust,1,1
20,trust,1,1
24,anticipation,1,1
24,joy,1,1
24,sadness,1,1
24,trust,1,1
27,anger,1,1
27,anticipation,1,1
27,disgust,1,1
27,fear,1,1
27,joy,1,1
27,sadness,1,1
27,trust,2,1
28,anger,1,1
28,disgust,2,1
28,fear,1,1
57,trust,1,1
62,anticipation,1,1
62,joy,1,1
62,surprise,1,1
62,trust,1,1
69,disgust,2,1
69,fear,1,1
70,disgust,1,1
71,anger,2,1
71,disgust,1,1
71,fear,1,1
71,sadness,1,1
71,surprise,1,1
73,anticipation,1,1
73,fear,1,1
74,anger,1,1
74,fear,1,1
78,anticipation,1,1
78,joy,1,1
78,sadness,1,1
78,trust,1,1
84,fear,1,1
84,surprise,1,1
92,surprise,1,1
92,trust,2,1
94,fear,1,1
94,surprise,1,1
98,fear,1,1
98,surprise,1,1
101,sadness,1,1
104,joy,1,1
105,trust,1,1
106,trust,1,1
110,anger,1,1
110,anticipation,2,1
110,disgust,1,1
110,joy,1,1
110,sadness,1,1
110,surprise,1,1
111,anger,1,1
111,disgust,1,1
111,fear,1,1
111,sadness,1,1
113,anger,1,1
114,anticipation,1,1
114,disgust,2,1
114,sadness,1,1
115,anger,1,1
115,fear,1,1
115,sadness,1,1
116,disgust,1,1
117,anger,1,1
117,fear,1,1
117,sadness,1,1
118,surprise,1,1
119,anger,1,1
119,disgust,1,1
119,fear,1,1
123,anger,1,1
123,disgust,1,1
123,fear,1,1
125,joy,1,1
128,trust,1,1
129,anger,1,1
129,disgust,1,1
129,fear,1,1
133,anger,1,1
133,disgust,1,1
133,fear,1,1
134,anger,1,1
134,disgust,1,1
134,fear,1,1
137,joy,2,1
137,surprise,1,1
138,anger,1,1
138,disgust,1,1
138,fear,1,1
139,anger,1,1
139,disgust,1,1
139,fear,1,1
142,anger,1,1
142,anticipation,1,1
142,disgust,1,1
142,fear,1,1
142,sadness,1,1
143,anger,1,1
143,disgust,1,1
143,fear,1,1
143,sadness,1,1
144,anger,1,1
144,disgust,1,1
144,fear,1,1
146,anger,1,1
146,disgust,1,1
146,fear,1,1
146,sadness,1,1
147,anger,1,1
147,disgust,2,1
147,fear,1,1
150,anger,2,1
150,disgust,2,1
150,fear,2,1
152,anger,1,1
153,anger,1,1
153,disgust,2,1
153,fear,1,1
154,anger,1,1
154,fear,1,1
154,sadness,1,1
155,anger,1,1
155,anticipation,1,1
155,disgust,1,1
155,fear,1,1
155,joy,1,1
155,sadness,2,1
155,surprise,1,1
155,trust,1,1
156,anticipation,1,1
156,disgust,1,1
156,fear,2,1
156,joy,1,1
156,sadness,1,1
156,surprise,1,1
156,trust,1,1
157,anger,1,1
157,disgust,1,1
157,fear,1,1
161,anger,1,1
161,disgust,1,1
161,fear,1,1
166,anger,1,1
166,disgust,1,1
166,fear,1,1
169,anger,1,1
169,disgust,1,1
169,fear,1,1
169,sadness,1,1
170,anticipation,1,1
170,disgust,1,1
170,joy,1,1
170,surprise,1,1
170,trust,2,1
175,sadness,1,1
176,sadness,1,1
179,anger,1,1
179,disgust,1,1
179,fear,1,1
181,anger,1,1
181,fear,1,1
184,trust,1,1
185,anger,1,1
189,sadness,1,1
191,anger,1,1
191,anticipation,1,1
191,joy,1,1
191,trust,1,1
193,anticipation,1,1
193,joy,1,1
193,trust,1,1
195,anticipation,2,1
195,disgust,1,1
195,fear,1,1
195,joy,1,1
195,sadness,1,1
195,surprise,1,1
195,trust,1,1
197,anticipation,1,1
197,joy,1,1
197,surprise,1,1
197,trust,1,1
203,anticipation,1,1
213,anticipation,1,2
213,joy,1,2
215,sadness,1,2
217,trust,1,2
225,disgust,1,2
234,trust,1,2
240,anticipation,1,2
245,anger,1,2
245,disgust,1,2
255,fear,1,2
265,surprise,1,2
267,anger,1,2
267,disgust,1,2
267,fear,1,2
267,sadness,1,2
277,anticipation,1,2
277,joy,2,2
277,trust,1,2
278,anger,1,2
278,anticipation,1,2
278,disgust,1,2
278,fear,1,2
278,joy,1,2
278,sadness,1,2
278,trust,1,2
285,anger,1,2
285,anticipation,1,2
287,trust,1,2
295,anticipation,1,2
295,joy,1,2
295,surprise,1,2
295,trust,1,2
297,anger,1,2
297,disgust,1,2
297,fear,1,2
297,sadness,1,2
305,anger,1,2
305,anticipation,1,2
305,trust,1,2
308,trust,1,2
312,sadness,1,2
313,sadness,1,2
314,surprise,1,2
318,anger,1,2
321,anticipation,3,2
321,joy,2,2
321,surprise,1,2
321,trust,1,2
322,trust,1,2
323,anticipation,1,2
324,anticipation,1,2
324,joy,2,2
324,surprise,2,2
324,trust,2,2
329,joy,1,2
330,anger,1,2
330,sadness,1,2
332,anger,1,2
332,fear,1,2
332,sadness,1,2
335,anger,2,2
335,fear,1,2
335,sadness,1,2
337,anger,1,2
337,fear,1,2
337,sadness,1,2
340,anger,1,2
341,sadness,1,2
341,trust,1,2
342,fear,1,2
342,trust,1,2
345,anger,1,2
345,anticipation,2,2
345,disgust,1,2
345,fear,1,2
345,sadness,1,2
345,surprise,1,2
352,anticipation,3,2
362,anger,1,2
362,disgust,1,2
365,anger,1,2
365,disgust,1,2
369,trust,1,2
372,trust,1,2
380,trust,1,2
381,joy,1,2
381,trust,1,2
382,fear,1,2
382,sadness,1,2
383,trust,1,2
384,disgust,1,2
384,fear,1,2
384,sadness,1,2
392,anger,1,2
393,fear,1,2
393,trust,1,2
399,disgust,1,2
399,joy,2,2
399,sadness,1,2
399,surprise,1,2
399,trust,2,2
400,disgust,1,2
402,joy,1,2
402,trust,1,2
403,disgust,1,2
404,joy,1,2
404,trust,1,2
406,joy,1,2
406,trust,1,2
407,disgust,1,2
407,sadness,1,2
410,disgust,1,2
412,anger,1,2
412,disgust,1,2
412,fear,1,2
412,sadness,1,2
412,surprise,1,2
413,sadness,1,2
419,anger,1,2
419,disgust,1,2
419,fear,1,2
419,sadness,1,2
419,surprise,1,2
420,disgust,1,3
420,sadness,1,3
428,disgust,1,3
430,anger,1,3
430,disgust,1,3
430,fear,1,3
430,sadness,1,3
431,disgust,1,3
433,joy,1,3
433,trust,1,3
435,anger,1,3
435,fear,1,3
435,sadness,1,3
435,trust,1,3
437,anger,1,3
437,anticipation,1,3
437,joy,1,3
437,surprise,1,3
437,trust,1,3
439,sadness,1,3
441,disgust,2,3
441,sadness,2,3
442,joy,1,3
442,trust,1,3
446,disgust,1,3
456,sadness,1,3
456,surprise,1,3
461,sadness,1,3
463,joy,2,3
463,trust,1,3
466,anger,1,3
466,disgust,1,3
467,joy,1,3
467,trust,1,3
477,fear,1,3
480,disgust,1,3
483,disgust,1,3
489,trust,1,3
490,anticipation,1,3
490,fear,1,3
490,trust,1,3
491,joy,1,3
491,trust,1,3
497,anger,1,3
497,disgust,1,3
497,fear,1,3
497,sadness,1,3
498,disgust,2,3
498,sadness,1,3
501,anger,1,3
501,disgust,1,3
501,fear,1,3
501,sadness,1,3
508,disgust,1,3
519,joy,1,3
522,disgust,1,3
522,sadness,1,3
523,fear,1,3
523,surprise,2,3
529,anticipation,1,3
529,joy,1,3
539,fear,1,3
540,anger,1,3
541,anticipation,1,3
541,fear,1,3
546,anticipation,1,3
546,trust,1,3
552,anger,1,3
554,anger,1,3
563,anger,1,3
563,disgust,1,3
563,fear,1,3
563,sadness,1,3
563,surprise,1,3
576,anticipation,1,3
581,anger,1,3
581,anticipation,1,3
581,disgust,1,3
585,anticipation,1,3
585,fear,1,3
585,sadness,1,3
585,trust,1,3
590,anticipation,1,3
590,fear,1,3
590,sadness,1,3
591,anticipation,1,3
596,trust,1,3
597,anger,1,3
597,disgust,1,3
597,fear,1,3
597,sadness,1,3
600,anger,1,3
600,disgust,1,3
600,fear,1,3
600,sadness,1,3
602,trust,1,3
604,anger,1,3
604,fear,1,3
604,joy,1,3
604,trust,1,3
612,anger,1,3
612,fear,1,3
612,sadness,1,3
612,surprise,1,3
613,anger,1,3
615,anger,1,3
615,surprise,1,3
616,anger,1,3
616,surprise,1,3
620,anger,1,3
620,fear,1,3
620,sadness,1,3
622,trust,1,3
624,anticipation,1,3
624,joy,1,3
624,surprise,1,3
624,trust,1,3
626,anger,1,3
626,fear,1,3
626,sadness,1,3
630,sadness,1,4
631,anger,1,4
631,disgust,1,4
631,fear,1,4
631,sadness,1,4
637,anticipation,1,4
637,joy,1,4
637,surprise,1,4
637,trust,1,4
638,anger,2,4
638,disgust,2,4
638,fear,2,4
638,sadness,1,4
639,trust,1,4
640,disgust,1,4
640,trust,1,4
641,anger,1,4
641,disgust,1,4
641,fear,1,4
642,anticipation,1,4
642,disgust,2,4
642,fear,1,4
642,sadness,1,4
648,fear,1,4
649,disgust,1,4
649,sadness,1,4
650,sadness,1,4
651,disgust,1,4
652,anticipation,1,4
653,anger,1,4
653,anticipation,1,4
660,fear,1,4
660,surprise,1,4
667,disgust,1,4
672,trust,1,4
681,anger,1,4
681,disgust,1,4
681,fear,1,4
681,sadness,1,4
688,anger,1,4
688,disgust,1,4
688,fear,1,4
688,sadness,1,4
689,disgust,1,4
689,fear,1,4
690,anticipation,1,4
690,surprise,1,4
691,anticipation,1,4
691,joy,1,4
691,surprise,1,4
691,trust,1,4
698,anger,1,4
698,fear,1,4
714,fear,1,4
714,sadness,1,4
717,anticipation,1,4
718,anticipation,1,4
718,joy,1,4
718,surprise,1,4
718,trust,1,4
720,anger,1,4
720,fear,1,4
722,anger,1,4
725,anger,1,4
725,anticipation,1,4
725,fear,1,4
727,anger,1,4
727,anticipation,1,4
727,fear,1,4
733,joy,1,4
753,anger,1,4
753,disgust,1,4
757,anger,1,4
757,fear,1,4
762,anger,1,4
763,disgust,1,4
767,anticipation,1,4
767,joy,1,4
767,trust,1,4
768,fear,1,4
768,sadness,1,4
773,anger,1,4
773,disgust,1,4
773,fear,1,4
773,sadness,1,4
777,disgust,1,4
777,joy,1,4
777,sadness,1,4
781,surprise,1,4
782,anger,1,4
782,anticipation,1,4
784,anger,1,4
784,fear,1,4
784,joy,1,4
791,surprise,1,4
800,joy,1,4
804,anticipation,1,4
804,joy,1,4
804,trust,1,4
807,anticipation,1,4
807,disgust,1,4
807,joy,1,4
807,surprise,1,4
807,trust,1,4
810,anticipation,1,4
811,anticipation,1,4
811,disgust,1,4
811,joy,1,4
811,surprise,1,4
811,trust,1,4
819,trust,1,4
821,anticipation,1,4
821,joy,1,4
821,sadness,1,4
821,surprise,2,4
826,fear,1,4
826,trust,1,4
829,trust,1,4
832,disgust,1,4
832,fear,1,4
832,sadness,1,4
833,anticipation,1,4
833,joy,2,4
833,trust,2,4
834,trust,1,4
835,disgust,2,4
835,sadness,1,4
838,anger,1,4
838,disgust,1,4
838,fear,1,4
838,sadness,1,4
841,disgust,1,5
843,disgust,1,5
843,sadness,1,5
844,fear,1,5
845,anger,1,5
845,disgust,1,5
845,fear,1,5
845,sadness,1,5
849,anger,1,5
849,disgust,3,5
849,fear,1,5
849,sadness,2,5
851,disgust,1,5
858,disgust,1,5
858,fear,1,5
860,trust,1,5
862,trust,1,5
866,disgust,1,5
866,fear,1,5
866,sadness,1,5
883,disgust,1,5
884,joy,1,5
884,trust,1,5
885,disgust,2,5
885,sadness,1,5
888,sadness,1,5
892,anticipation,1,5
894,disgust,2,5
894,sadness,1,5
897,anger,1,5
898,anger,1,5
898,disgust,1,5
898,fear,1,5
898,sadness,1,5
898,surprise,1,5
899,anger,1,5
899,trust,1,5
902,fear,1,5
903,anger,1,5
903,fear,1,5
909,anger,1,5
913,anger,1,5
913,fear,1,5
914,joy,1,5
914,trust,1,5
920,disgust,1,5
920,fear,1,5
920,sadness,1,5
923,anticipation,1,5
923,fear,1,5
923,sadness,1,5
927,anger,1,5
927,surprise,1,5
934,disgust,1,5
941,disgust,1,5
943,anticipation,1,5
943,sadness,1,5
946,disgust,1,5
949,disgust,1,5
953,anger,1,5
956,anticipation,1,5
958,anger,1,5
964,trust,1,5
968,anger,1,5
968,disgust,1,5
968,fear,1,5
968,sadness,1,5
977,anticipation,1,5
977,surprise,1,5
978,sadness,1,5
980,anger,1,5
980,disgust,1,5
980,fear,1,5
980,sadness,1,5
982,joy,1,5
988,anticipation,1,5
988,joy,1,5
988,trust,1,5
989,anticipation,2,5
989,fear,1,5
989,trust,1,5
995,anger,1,5
995,joy,1,5
996,disgust,1,5
1005,sadness,1,5
1008,disgust,1,5
1008,sadness,1,5
1009,joy,1,5
1011,disgust,1,5
1013,disgust,1,5
1014,fear,1,5
1014,joy,1,5
1014,sadness,1,5
1015,anger,1,5
1015,disgust,1,5
1015,sadness,1,5
1019,disgust,1,5
1019,sadness,1,5
1021,disgust,1,5
1021,fear,1,5
1021,sadness,1,5
1022,anger,1,5
1025,anger,1,5
1025,disgust,1,5
1026,disgust,1,5
1028,fear,1,5
1028,sadness,1,5
1028,surprise,1,5
1036,joy,1,5
1036,trust,1,5
1039,anger,1,5
1039,disgust,1,5
1040,disgust,1,5
1047,anger,1,5
1047,fear,1,5
1047,sadness,1,5
1049,anticipation,1,5
1051,anger,1,6
1051,fear,1,6
1053,anticipation,1,6
1053,fear,1,6
1056,anger,1,6
1057,joy,1,6
1058,anger,2,6
1058,anticipation,1,6
1058,disgust,1,6
1058,fear,2,6
1058,sadness,1,6
1058,surprise,2,6
1063,anger,1,6
1063,disgust,1,6
1063,fear,1,6
1063,sadness,1,6
1068,anger,1,6
1068,anticipation,1,6
1068,disgust,1,6
1068,fear,1,6
1068,sadness,1,6
1068,surprise,1,6
1070,fear,1,6
1087,anticipation,1,6
1087,fear,1,6
1099,anger,1,6
1099,disgust,1,6
1102,anger,1,6
1102,disgust,1,6
1102,fear,1,6
