line,sentiment,n,paragraph
4,anger,1,1
4,fear,1,1
4,sadness,1,1
4,surprise,1,1
5,disgust,1,1
7,anticipation,1,1
7,fear,1,1
7,joy,1,1
7,trust,2,1
9,anger,1,1
9,anticipation,1,1
9,fear,1,1
9,sadness,1,1
9,trust,1,1
14,surprise,1,1
16,anger,1,1
16,fear,1,1
16,sadness,1,1
16,surprise,1,1
18,anger,1,1
18,fear,1,1
18,sadness,1,1
19,anticipation,1,1
24,anger,1,1
24,fear,1,1
24,sadness,2,1
26,anticipation,1,1
26,fear,1,1
26,joy,1,1
26,trust,1,1
27,anger,1,1
27,fear,1,1
28,anger,2,1
28,fear,3,1
31,anticipation,1,1
32,fear,1,1
33,anger,1,1
33,anticipation,1,1
33,fear,1,1
33,joy,1,1
37,anger,1,1
37,fear,1,1
38,surprise,1,1
39,disgust,1,1
39,fear,1,1
41,anger,1,1
41,fear,1,1
42,anger,1,1
42,fear,1,1
42,sadness,1,1
43,anticipation,1,1
44,fear,1,1
48,anger,1,1
48,fear,1,1
49,anger,1,1
49,disgust,2,1
49,fear,1,1
49,sadness,1,1
50,fear,1,1
51,anger,1,1
51,fear,1,1
52,anger,1,1
52,fear,1,1
52,surprise,1,1
53,anger,1,1
53,fear,1,1
53,surprise,1,1
57,anger,1,1
57,fear,1,1
57,joy,1,1
57,surprise,1,1
57,trust,1,1
60,disgust,1,1
62,anger,1,1
62,anticipation,1,1
62,fear,1,1
62,trust,2,1
65,anticipation,1,1
66,joy,1,1
66,surprise,1,1
66,trust,1,1
70,fear,1,1
71,anger,1,1
71,fear,1,1
72,joy,1,1
72,surprise,1,1
72,trust,1,1
73,anger,1,1
73,fear,1,1
73,sadness,1,1
76,anger,1,1
76,disgust,1,1
78,anger,1,1
78,fear,1,1
82,disgust,1,1
82,joy,1,1
83,anticipation,1,1
83,joy,1,1
83,trust,1,1
84,joy,2,1
84,surprise,1,1
84,trust,1,1
96,joy,1,1
96,surprise,1,1
96,trust,1,1
97,anticipation,1,1
97,disgust,1,1
97,joy,1,1
97,surprise,1,1
97,trust,1,1
98,joy,1,1
99,anticipation,1,1
99,trust,1,1
103,trust,1,1
104,sadness,1,1
109,anticipation,1,1
109,fear,1,1
109,joy,1,1
109,trust,1,1
114,fear,1,1
114,sadness,1,1
122,anticipation,1,1
122,trust,1,1
124,anticipation,1,1
124,joy,1,1
124,surprise,1,1
124,trust,1,1
129,anticipation,1,1
129,trust,1,1
131,anger,1,1
131,fear,1,1
131,sadness,1,1
132,trust,1,1
135,anticipation,1,1
135,trust,1,1
138,anticipation,1,1
138,joy,1,1
138,trust,1,1
139,anger,1,1
140,fear,1,1
147,fear,1,1
155,disgust,1,1
155,fear,1,1
158,anticipation,1,1
158,joy,1,1
159,surprise,1,1
159,trust,1,1
161,trust,1,1
162,trust,1,1
164,anticipation,1,1
166,anticipation,1,1
166,surprise,1,1
166,trust,1,1
168,anticipation,1,1
168,joy,1,1
168,trust,1,1
174,joy,1,1
178,trust,1,1
179,trust,1,1
186,trust,1,1
192,trust,1,1
195,fear,1,1
199,trust,1,1
205,trust,1,2
207,fear,1,2
211,fear,1,2
211,sadness,1,2
211,trust,1,2
212,anger,1,2
212,fear,1,2
214,anticipation,1,2
214,trust,2,2
217,anticipation,1,2
217,joy,1,2
217,trust,1,2
222,fear,1,2
222,sadness,1,2
230,joy,1,2
230,trust,1,2
234,anticipation,1,2
234,joy,1,2
235,trust,1,2
236,disgust,1,2
236,fear,1,2
239,anticipation,1,2
239,trust,1,2
250,fear,1,2
251,trust,1,2
252,anger,1,2
252,fear,1,2
256,joy,1,2
256,trust,1,2
259,anger,1,2
259,disgust,1,2
259,fear,1,2
259,sadness,1,2
265,anticipation,1,2
265,joy,1,2
265,trust,1,2
271,trust,1,2
272,trust,1,2
278,sadness,1,2
286,joy,1,2
286,trust,1,2
299,trust,1,2
305,joy,1,2
305,trust,1,2
313,fear,1,2
318,anger,1,2
318,disgust,1,2
318,fear,1,2
319,anticipation,1,2
319,joy,1,2
319,surprise,1,2
324,anticipation,1,2
336,fear,1,2
342,anger,1,2
350,anger,1,2
350,fear,1,2
350,sadness,1,2
350,surprise,1,2
351,fear,1,2
353,surprise,1,2
354,sadness,1,2
356,sadness,1,2
360,anticipation,1,2
362,anger,1,2
364,trust,1,2
371,anticipation,1,2
371,joy,1,2
371,trust,1,2
373,anticipation,1,2
373,joy,1,2
373,surprise,1,2
373,trust,1,2
374,surprise,1,2
379,anger,1,2
379,disgust,1,2
379,fear,1,2
379,sadness,1,2
380,trust,1,2
382,trust,1,2
389,anticipation,1,2
389,surprise,1,2
389,trust,1,2
394,surprise,1,2
398,anger,1,2
398,anticipation,1,2
398,fear,2,2
404,trust,1,3
412,trust,1,3
414,trust,1,3
417,trust,1,3
419,joy,1,3
426,anger,1,3
426,disgust,1,3
429,anticipation,1,3
429,joy,1,3
429,surprise,1,3
429,trust,1,3
439,surprise,1,3
441,fear,1,3
441,sadness,1,3
441,trust,1,3
444,trust,1,3
451,trust,1,3
459,joy,1,3
459,trust,1,3
460,trust,1,3
466,trust,1,3
470,anger,1,3
470,anticipation,1,3
470,fear,1,3
472,disgust,1,3
473,trust,1,3
483,trust,1,3
494,anger,1,3
494,disgust,1,3
494,fear,1,3
494,sadness,1,3
495,anger,1,3
495,disgust,1,3
495,fear,1,3
495,sadness,1,3
498,anger,1,3
498,disgust,1,3
499,trust,1,3
500,anticipation,1,3
500,fear,1,3
500,joy,1,3
500,surprise,1,3
500,trust,1,3
502,anticipation,1,3
508,joy,1,3
508,surprise,1,3
508,trust,1,3
511,joy,1,3
511,trust,1,3
514,trust,1,3
519,surprise,1,3
520,anticipation,2,3
520,disgust,1,3
520,fear,1,3
520,joy,2,3
520,surprise,1,3
520,trust,3,3
530,anticipation,1,3
530,disgust,1,3
530,joy,1,3
530,sadness,1,3
530,trust,2,3
533,trust,1,3
534,disgust,1,3
536,joy,1,3
536,trust,1,3
537,disgust,1,3
542,fear,1,3
542,trust,1,3
543,trust,1,3
549,trust,1,3
552,fear,1,3
554,sadness,1,3
558,anger,1,3
558,disgust,1,3
558,fear,1,3
558,sadness,1,3
559,anger,1,3
559,fear,1,3
560,trust,1,3
561,anger,1,3
561,fear,1,3
571,trust,1,3
572,disgust,1,3
573,anger,1,3
574,anticipation,1,3
574,disgust,1,3
574,joy,1,3
574,surprise,1,3
574,trust,1,3
578,disgust,1,3
578,fear,1,3
582,sadness,1,3
582,surprise,1,3
585,sadness,1,3
586,fear,1,3
586,surprise,1,3
588,anger,1,3
588,anticipation,1,3
588,trust,1,3
590,trust,2,3
592,fear,1,3
594,anger,1,3
595,anger,1,3
595,disgust,1,3
595,fear,1,3
595,sadness,1,3
595,surprise,1,3
598,anticipation,1,3
600,disgust,1,4
604,anticipation,1,4
604,joy,1,4
604,trust,1,4
605,surprise,1,4
606,joy,1,4
613,anticipation,1,4
615,joy,1,4
615,surprise,1,4
615,trust,1,4
616,trust,1,4
617,anger,1,4
617,fear,1,4
617,sadness,1,4
621,fear,1,4
