,line,content
9,9, THE SCOTTISH COUNTRYSIDE - DAY
10,10,               Epic beauty: cobalt mountains beneath a glowering purple sky 
11,11,"               fringed with pink, as if the clouds were a lid too small for "
12,12,               the earth; a cascading landscape of boulders shrouded in 
13,13,"               deep green grass; and the blue lochs, reflecting the sky. We "
14,14,"               hear a voice, husky, Scottish..."
15,15,                                     
16,16,                         I will tell you of William Wallace.
17,17,               
18,18, MACANDREWS FARM - DAY
19,19,               A farmhouse and a large barn lie nestled in a Scottish valley. 
20,20,               Riding down the roads that lead in from opposite sides are 
21,21,"               Scottish noblemen in full regalia: eye-popping tartans, "
22,22,               sparkling chestplates. Even the horses are draped in scarlet. 
23,23,               Behind each nobleman rides a single page boy.
24,24,                                     
25,25,                         Historians from England will say I 
26,26,                         am a liar. But history is written by 
27,27,                         those who have hung heroes.
28,28,               Another noble rides in from the opposite side. Two more appear 
29,29,"               down the road, converging on the barn."
30,30,                                     
31,31,                         The King of Scotland had died without 
32,32,"                         a son, and the king of England, a "
33,33,                         cruel pagan known as Edward the 
34,34,"                         Longshanks, claimed the throne for "
35,35,                         himself. Scotland<U+0092>s nobles fought 
36,36,"                         him, and fought each other, over the "
37,37,                         crown. So Longshanks invited them to 
38,38,"                         talks of truce. No weapons, one page "
39,39,                         only.
40,40,"               The nobles eye each other cautiously, but the truce holds."
41,41,"               They enter the barn, with their pages..."
42,42,               
43,43, SCOTTISH FARM - DAY
44,44,               Nestled in emerald hills are the thatched roof house and 
45,45,"               barn and outbuildings of a well-run farm. The farmer, MALCOLM "
46,46,"               WALLACE, and his nineteen-year-old son JOHN, both strong, "
47,47,"               tough men, are riding away from the farm. They hear hooves "
48,48,               behind them and turn to see a boy riding after them.
49,49,                                     
50,50,                         Among the farmers of that shire was 
51,51,"                         Malcolm Wallace, a commoner, with "
52,52,                         his own lands and two sons: John...
53,53,"               We FAVOR JOHN WALLACE, the nineteen-year-old sitting easily "
54,54,"               on his horse, beside his father..."
55,55,                                     
56,56,                         ...and William.
57,57,"               WILLIAM, a skinny eight-year-old riding bareback, catches up "
58,58,               to his father and older brother.
59,59,                                     FATHER
60,60,                         Told ya to stay.
61,61,                                     WILLIAM
62,62,                         I finished my chores. Where we goin'?
63,63,                                     FATHER
64,64,                         MacAndrews'. He was supposed to visit 
65,65,                         when the truce was over.
66,66,"               They ride on, over the lush hills."
67,67,               
68,68, THE MACANDREWS FARM - DAY
69,69,               The horses are all gone; the place looks deserted. UP ON THE 
70,70,"               HILL we see the three Wallaces, looking down."
71,71,                                     FATHER
72,72,                         Stay here.
73,73,               He means William. He and his elder son spur their horses.
74,74,               AT THE BARN - DAY
75,75,"               The Wallaces ride up, looking around."
76,76,                                     FATHER
77,77,                         MacAndrews!... MacAndrews!?
78,78,"               Malcolm finds a pitchfork, John the woodpile axe..."
79,79,               
80,80, THE BARN
81,81,               POV from within as the door opens and a widening block of 
82,82,               sunlight illuminates the dusty shadows. Malcolm and John 
83,83,"               Wallace step in, and are shocked to see..."
84,84,               POV THE WALLACES
85,85,               Hanging from the rafters of the barn are thirty Scottish 
86,86,"               noblemen and thirty pages, their faces purple and contorted "
87,87,"               by the strangulation hanging, their tongues protruding."
88,88,               Malcolm stabs the pitchfork into the ground in useless anger; 
89,89,               John still grips the axe as he follows his father through 
90,90,"               the hanging bodies of the noblemen to the back row, to see "
91,91,"               the one man in commoner's dress, like theirs..."
92,92,                                     FATHER
93,93,                         MacAndrews.
94,94,               A SHUFFLE; John spins; William has entered the back door.
95,95,                                     JOHN
96,96,                         William! Get out of here!
97,97,                                     WILLIAM
98,98,                         Why would MacAndrews make so many 
99,99,                         scarecrows?
100,100,"               Before his father and brother can think of anything to say, "
101,101,"               William, with a boy's curiosity, touches the spurred foot of "
102,102,               the hanged noblemen we first saw riding in. It's too solid; 
103,103,"               he takes a real look at the face, and suddenly --"
104,104,                                     WILLIAM
105,105,                         R -- real!!!... Ahhhhhgggg!...
106,106,"               He turns to run, but knocks back into the feet of the hanged "
107,107,"               man behind him! In blind panic he darts in another direction, "
108,108,"               and runs into another corpse, and another; the hanged men "
109,109,"               begin to swing, making it harder for William's father and "
110,110,               older brother to fight their way to him.
111,111,                                     FATHER
112,112,                         William! William!
113,113,"               Then, worst of all, William sees the pages, boys like himself, "
114,114,               hanged in a row behind their masters!
115,115,               Finally his father and brother reach William and hug him 
116,116,"               tight. There in the barn, among the swinging bodies of the "
117,117,"               hanged nobles, Malcolm Wallace grips his sons."
118,118,                                     FATHER
119,119,                         Murderin' English bastards.
120,120,                                                                    CUT TO:
121,121,               
122,122, WALLACE FARMHOUSE - NIGHT
123,123,"               The cottage looks peaceful, the windows glowing yellow into "
124,124,               the night. From outside the house we see John rise and close 
125,125,"               the shutters of the kitchen, where men are gathered. We PAN "
126,126,               UP to the upper bedroom window...
127,127,               INSIDE THAT BEDROOM
128,128,               Young William is in nightmarish sleep. He mumbles in smothered 
129,129,               terror; he twitches. We see
130,130,               HIS NIGHTMARE
131,131,"               In the blue-grays of his dream, William stands at the door "
132,132,"               of the barn, gazing at the hanged knights. We WHIP PAN to "
133,133,"               their faces, garish, horrible... Then one of the heads moves "
134,134,"               and its eyes open! William wants to run, but he can't get "
135,135,"               his body to respond... and the hanging nobleman, his bloated "
136,136,"               tongue still bursting through his lips, moans..."
137,137,                                     GHOUL
138,138,                         Will--iam...!
139,139,"               WILLIAM tears himself from sleep; looking around, swallowing "
140,140,               back his tears and panic.
141,141,               IN THE KITCHEN
142,142,"               A dozen strong, tough farmers have huddled. Red-headed "
143,143,"               CAMPBELL, scarred and missing fingers, is stirred up, while "
144,144,               his friend MacCLANNOUGH is reluctant.
145,145,                                     CAMPBELL
146,146,                         Wallace is right! We fight 'em!
147,147,                                     MACCLANNOUGH
148,148,                         Every nobleman who had any will to 
149,149,                         fight was at that meeting.
