,line,content
11,11, BACHELOR APARTMENT BEDROOM - NIGHT
12,12,          A modest city bedroom. Suitcases and half-unpacked boxes
13,13,          sit on one side of the room. Sc_-orLe's -moving in.
14,14,"          In his bathrobe, PHIL FOSTER, a good looking guy in his"
15,15,"          mid-20's, hums to himself as he looks through stacks of"
16,16,          WEDDING PICTURES organized all over the bed. Just as he
17,17,"          finishes up a pile and starts another, beautiful CLARA"
18,18,"          FOSTER, in a bathrobe too, jumps across his lap."
19,19,                         PHIL
20,20,"          Hey, hey! Careful Clara! You were the"
21,21,          one who told me not to mess up the
22,22,          precious picture piles!
23,23,"          he gives him a long, slow kiss."
24,24,          PHIL (CONT ' D )
25,25,          Minty fresh.
26,26,                         CLARA
27,27,          That was nice.
28,28,                         PHIL
29,29,          It was nice.
30,30,                         CLARA
31,31,          Hey from now on when you change the
32,32,"          toilet paper, could you just make sure it"
33,33,          is out?
34,34,                         PHIL
35,35,                         (CHUCKLES)
36,36,          Wow! She moves in and the honeymoon's
37,37,          over!
38,38,                         CLARA
39,39,"          Oh, believe me, we're just getting"
40,40,"          started, Phil."
41,41,                         PHIL
42,42,          (reaches into picture pile)
43,43,          Look at this one of your Mom with me. I
44,44,          mean that woman can't contain her 'Love!
45,45,"          ON the wedding picture: RUTH, Clara's,mother, stands"
46,46,          stiffly next to Phil with an expression like she's ankle
47,47,          deep in a manure bin.
48,48,                         CLARA
49,49,                         (LAUGHS)
50,50,          She just takes a while to warm up. You
51,51,          guys are gonna be best buddies. You
52,52,          picked a favorite of us yet?  
53,53,                         
54,54,2
55,55,"          Phil finds the picture, handing it to Clara."
56,56,                         CLARA (CONT'D)
57,57,          That's exactly the one I picked!
58,58,          Clara leans the photo on the night stand next to the bed.
59,59,          It's a PORTRAIT OF THEM FROM THEIR WEDDING. They look
60,60,"          joyous, excited. A young couple with the world in front"
61,61,          of them.
62,62,                         PHIL
63,63,"          Man, I wish I was them."
64,64,"          Phil kisses the back of Clara's neck, but her smile fades"
65,65,          as she stares at the picture. He notices.
66,66,                         PHIL (CONT'D)
67,67,                         WHAT IS
68,68,                         CLARA
69,69,          I just... when I was growing up my Mom
70,70,          and Dad had a picture just like this.
71,71,          Now they can't even acknowledge each
72,72,          other.
73,73,          Phil sympathetically gives her a squeeze.
74,74,                         CLARA (CONT'D)
75,75,          Let's always remember to have some time
76,76,          that's just for the two of us. No matter
77,77,          what else comes up in our lives - if it's
78,78,          work or friends or when we have kids-
79,79,                         PHIL
80,80,"          We're having kids? With an \""S\""?"
81,81,                         (CLARA LAUGHS)
82,82,          OK fine. But I promise you it's never
83,83,          gonna happen to us.
84,84,                         CLARA
85,85,"          Yeah, we'll see if you'll be saying that"
86,86,          when I'm long in the tooth.
87,87,                         PHIL
88,88,          You'll be even hotter long toothed.
89,89,          Right now to be honest Clara they're a
90,90,          little stumpy.
91,91,                         CZ
92,92,                         (GIGGLES
93,93,          Oh really?
94,94,"          As Phil climbs on top and kisses her, he reaches over and"
95,95,"          turns off the light. Suddenly, we hear the piles of"
96,96,          pictures SLIDE OFF THE BED and hit the ground. Beat.
97,97,                         
98,98,                         
99,99,                         
100,100,                         
101,101,                         CLARA (CONT'D)
102,102,          Phil. Tell me it wasn't the pictures.
103,103,                         PHIL
104,104,          wasn't the pictures.
105,105,                         CLARA
106,106,          You know how long that took?
107,107,                         PHIL
108,108,"          We'll fix the picture piles, Clara."
109,109,          We've got all the time in the world.
110,110,          From now on everything's gonna be just
111,111,          about us.
